generation,candidate,composite_mse,K_ca1,beta_latent,beta_output
0,0,0.035328186893214784,9.0,41.31805896759033,50.43921709060669
0,1,0.04487469233572483,9.0,23.73798981308937,1.0
0,2,0.033065962605178356,9.0,37.578760385513306,48.23570489883423
0,3,0.06703708507120609,3.0,1.0,1.0
0,4,0.0023493365927909813,3.0,12.83193588256836,15.730475783348083
0,5,0.01920535632719596,3.0,42.18106389045715,13.84891152381897
0,6,0.02112004836089909,8.0,30.549205541610718,38.87385606765747
1,0,0.02924368406335513,5.0,44.0957510471344,33.74946355819702
1,1,0.0018083389732055366,1.0,13.234503269195557,19.419422149658203
1,2,0.009004036546684802,7.0,21.788879334926605,30.40923535823822
1,3,0.008224691535967091,7.0,24.780972860753536,26.171273291110992
1,4,0.07550167292356491,1.0,29.470330476760864,1.0
1,5,0.008299090007009605,8.0,28.064714074134827,20.9051913022995
1,6,0.0022803475925077996,3.0,14.235142469406128,25.302757266908884
2,0,0.002758291938031713,5.0,7.748932838439941,11.89471960067749
2,1,0.010225383099168539,5.0,32.39297866821289,16.847426295280457
2,2,0.008313495219529917,5.0,14.20783519744873,39.302765130996704
2,3,0.003269485702427725,2.0,1.0,24.415259920060635
2,4,0.015480095675836006,7.0,27.24272593855858,36.304248571395874
2,5,0.06700111056367557,2.0,28.55431228876114,1.0
2,6,0.006750189078350862,3.0,10.683294534683228,42.3331093788147
3,0,0.0033762488552990058,5.0,17.84287989139557,20.30497580766678
3,1,0.02436526119709015,5.0,1.0,42.91744351387024
3,2,0.0023898895791110895,2.0,15.946993231773376,28.741796612739563
3,3,0.003107338988532623,3.0,1.0,26.535290330648422
3,4,0.0029385959690747163,3.0,15.154752731323242,27.545613646507263
3,5,0.004197346046566963,4.0,13.980486392974854,28.437494039535522
3,6,0.008982146120009324,3.0,1.0,37.64509439468384
4,0,0.01138415412666897,2.0,32.01527237892151,36.78030848503113
4,1,0.0020310914357348033,1.0,7.835428714752197,18.31119656562805
4,2,0.002861260979746779,6.0,15.499660968780518,20.100719034671783
4,3,0.005912342380421857,2.0,24.134469479322433,40.59871554374695
4,4,0.005775064060192865,5.0,4.716596603393555,33.22076737880707
4,5,0.007825043052434921,2.0,25.246851854026318,46.956822872161865
4,6,0.004354891580684732,4.0,19.490485191345215,26.088468953967094
5,0,0.004925657723409434,5.0,23.04961547255516,11.040922403335571
5,1,0.0019110663755175967,4.0,2.466111183166504,19.496628642082214
5,2,0.005395711205589275,6.0,11.472076177597046,7.003345489501953
5,3,0.0021036131074652076,5.0,9.758330583572388,21.654227077960968
5,4,0.0031591090955771506,4.0,16.97578251361847,13.252555131912231
5,5,0.0042461622118329006,4.0,22.60621652007103,15.001341104507446
5,6,0.0039747113090318935,5.0,19.66547429561615,19.86809730529785
6,0,0.004001627792604268,6.0,1.0,16.848814487457275
6,1,0.0022319207588831582,5.0,12.723747491836548,17.417685389518738
6,2,0.0032755197025835514,2.0,1.0,24.34548608958721
6,3,0.0018764600875632216,5.0,6.880607604980469,22.053134739398956
6,4,0.0019967499538324773,4.0,1.9646191596984863,24.375768341124058
6,5,0.0017976848175749183,4.0,9.11456823348999,20.5315563082695
6,6,0.00336245697690174,5.0,14.732836484909058,11.411982774734497
7,0,0.0032611796826434634,5.0,12.571414709091187,24.568340070545673
7,1,0.0021352426653417447,4.0,2.856464385986328,29.94969755411148
7,2,0.001978025490340466,3.0,11.068516969680786,19.79197323322296
7,3,0.003238379353812585,3.0,1.0839629173278809,29.533953368663788
7,4,0.002401399367954582,6.0,11.36435866355896,14.051024913787842
7,5,0.0019426636960512649,4.0,10.264333486557007,19.002957940101624
7,6,0.00211878899911729,5.0,6.824573278427124,24.056972712278366
8,0,0.0016753959547107418,5.0,4.11745548248291,17.92281448841095
8,1,0.0022350576473399997,4.0,10.65845251083374,15.942797064781189
8,2,0.003056966078778108,5.0,16.983436942100525,15.567644834518433
8,3,0.0024432000742914775,4.0,13.364065885543823,16.167454719543457
8,4,0.0024322838289663196,4.0,13.946852684020996,19.75146770477295
8,5,0.0034108596931522093,4.0,15.496002435684204,27.478408813476562
8,6,0.003443403208317856,5.0,15.82352101802826,11.883043050765991
9,0,0.001716901674323405,4.0,7.413985729217529,19.42369818687439
9,1,0.0019223144627176225,4.0,3.5649585723876953,17.649291157722473
9,2,0.0018196006421931088,4.0,9.39060091972351,20.608124434947968
9,3,0.002286565121418486,3.0,2.1741533279418945,19.1232031583786
9,4,0.0017032430914696306,5.0,6.628283262252808,17.814480662345886
9,5,0.0022611398987161615,5.0,4.25262451171875,14.116592407226562
9,6,0.0026364625276376805,4.0,15.472108721733093,18.73066484928131
10,0,0.002065032604150474,4.0,9.433015584945679,22.17009127140045
10,1,0.001849148393375799,5.0,6.59224271774292,16.412800550460815
10,2,0.0019534412034166357,4.0,10.826281309127808,20.711195468902588
10,3,0.001562989423594748,5.0,7.312244176864624,20.633821189403534
10,4,0.0015380588204910357,5.0,6.930056810379028,20.619574189186096
10,5,0.0014047569614679862,4.0,5.084712505340576,22.98417553305626
10,6,0.00217682730484133,5.0,8.958719968795776,14.713327884674072
11,0,0.0014356902393046767,4.0,5.3826069831848145,22.798021286725998
11,1,0.0015208355034701526,5.0,6.030498743057251,19.77584660053253
11,2,0.0013724312593694776,5.0,5.596789121627808,22.774617671966553
11,3,0.001624728455984344,5.0,7.544301748275757,19.655745029449463
11,4,0.0015315927448682487,5.0,6.173602342605591,20.15963315963745
11,5,0.0013019200705457479,5.0,3.6119723320007324,22.829717993736267
11,6,0.001311248818334813,5.0,4.160864353179932,22.173401415348053
12,0,0.0014078290453956772,5.0,2.9407835006713867,23.21380704641342
12,1,0.0014673700594964127,5.0,5.000438690185547,19.6969211101532
12,2,0.0017909327483115096,4.0,5.290694236755371,17.979848384857178
12,3,0.0015940479061100632,5.0,3.009371757507324,19.929857850074768
12,4,0.0017171998915728182,5.0,3.312859535217285,18.28097403049469
12,5,0.0015637764202741284,5.0,4.0576863288879395,18.97142469882965
12,6,0.0013879505859222263,5.0,4.9301934242248535,20.898666977882385
13,0,0.0015489720972254872,5.0,5.81299901008606,19.176146984100342
13,1,0.0014550606235085677,5.0,4.217267036437988,20.110348761081696
13,2,0.0012630280398298055,5.0,4.563488960266113,23.696048259735107
13,3,0.0013139122262752305,5.0,4.266149997711182,21.901866495609283
13,4,0.0021063563181087375,5.0,1.528012752532959,22.271878719329834
13,5,0.0016404704947490245,4.0,5.768047571182251,19.696314930915833
13,6,0.0012953741243109107,5.0,3.800785541534424,22.716875970363617
14,0,0.0011981438340929647,5.0,3.8242173194885254,24.960328107699752
14,1,0.0016148648574016988,4.0,2.274138927459717,24.127463027834892
14,2,0.0020774832422224185,4.0,5.897815227508545,25.595474243164062
14,3,0.0020389075313384333,5.0,1.594102382659912,22.233545184135437
14,4,0.0013490056444425136,4.0,4.571220874786377,23.68870124220848
14,5,0.001254408775518338,5.0,4.097094535827637,23.358539789915085
14,6,0.0012542725210854162,5.0,3.559143543243408,23.96781511604786
15,0,0.0012016098383658875,5.0,3.9920902252197266,24.545825757086277
15,1,0.0013775227416772395,4.0,4.111318588256836,23.051920235157013
15,2,0.0013422441843431443,5.0,4.42962646484375,21.584821045398712
15,3,0.0020207885342339673,5.0,3.233036994934082,26.222542449831963
15,4,0.0012122162346107264,5.0,4.0747785568237305,25.49817766994238
15,5,0.0012749759092306097,5.0,4.607954025268555,23.152188062667847
15,6,0.0022746601316612214,5.0,2.2433066368103027,24.496685937047005
16,0,0.0016079392128934462,5.0,4.471180438995361,25.884195938706398
16,1,0.0016592353543577094,5.0,4.400458335876465,26.074824035167694
16,2,0.0015653957719526563,5.0,4.359407424926758,25.471330881118774
16,3,0.0016280837444355711,5.0,4.528627395629883,25.720077753067017
16,4,0.0013006199199783925,5.0,4.4892048835754395,25.024451951030642
16,5,0.001743416835476334,5.0,4.050405025482178,26.77684709429741
16,6,0.001260077386784057,5.0,3.4680628776550293,24.778507612645626
17,0,0.0015200909498768549,5.0,3.2596969604492188,24.31400455534458
17,1,0.0012053591102206458,5.0,3.84171724319458,25.81915184855461
17,2,0.0017762029747245833,5.0,4.812629222869873,26.146660819649696
17,3,0.0020483484937964627,5.0,3.1102848052978516,25.62332261353731
17,4,0.0017960885306820273,5.0,4.5630621910095215,26.462953984737396
17,5,0.001379568682750687,5.0,3.897111415863037,26.42075926065445
17,6,0.0012209108487392466,5.0,4.116394519805908,24.292850866913795
18,0,0.002055136748822406,5.0,3.154478073120117,25.36202657967806
18,1,0.0018028969207080081,5.0,4.356205463409424,26.850885450839996
18,2,0.0012883822976921995,5.0,4.234814643859863,25.30024355277419
18,3,0.0014995627376871805,5.0,4.3523478507995605,25.375915057957172
18,4,0.002026737027335912,5.0,3.3278536796569824,25.519672855734825
18,5,0.002058517546781028,5.0,3.252403736114502,24.827624578028917
