generation,generation_best_mse,best_seen_mse,population_mean_mse,sigma,K_ca1,beta_latent,beta_output
0,0.0023493365927909813,0.0023493365927909813,0.03185438116945859,0.8577320575714111,3.0,12.83193588256836,15.730475783348083
1,0.0018083389732055366,0.0018083389732055366,0.019194551663184983,0.7873716354370117,1.0,13.234503269195557,19.419422149658203
2,0.002758291938031713,0.0018083389732055366,0.01625686446814576,0.6829016804695129,1.0,13.234503269195557,19.419422149658203
3,0.0023898895791110895,0.0018083389732055366,0.007050975250811982,0.5970658659934998,1.0,13.234503269195557,19.419422149658203
4,0.0020310914357348033,0.0018083389732055366,0.005734835373697846,0.5103461742401123,1.0,13.234503269195557,19.419422149658203
5,0.0019110663755175967,0.0018083389732055366,0.003673718718346208,0.460166335105896,1.0,13.234503269195557,19.419422149658203
6,0.0017976848175749183,0.0017976848175749183,0.0026489171557061908,0.3675711750984192,4.0,9.11456823348999,20.5315563082695
7,0.0019426636960512649,0.0017976848175749183,0.002439382750751628,0.287937194108963,4.0,9.11456823348999,20.5315563082695
8,0.0016753959547107418,0.0016753959547107418,0.0026710237836509586,0.24769055843353271,5.0,4.11745548248291,17.92281448841095
9,0.0017032430914696306,0.0016753959547107418,0.002049461059782299,0.2054908722639084,5.0,4.11745548248291,17.92281448841095
10,0.0014047569614679862,0.0014047569614679862,0.0017928935301911443,0.17508749663829803,4.0,5.084712505340576,22.98417553305626
11,0.0013019200705457479,0.0013019200705457479,0.001442635298839637,0.15156544744968414,5.0,3.6119723320007324,22.829717993736267
12,0.0013879505859222263,0.0013019200705457479,0.0015613009510118336,0.1268080472946167,5.0,3.6119723320007324,22.829717993736267
13,0.0012630280398298055,0.0012630280398298055,0.001517596274858252,0.10458768904209137,5.0,4.563488960266113,23.696048259735107
14,0.0011981438340929647,0.0011981438340929647,0.001541012343728826,0.09249908477067947,5.0,3.8242173194885254,24.960328107699752
15,0.0012016098383658875,0.0011981438340929647,0.001529145367731828,0.07646524161100388,5.0,3.8242173194885254,24.960328107699752
16,0.001260077386784057,0.0011981438340929647,0.0015378240322683095,0.06701570004224777,5.0,3.8242173194885254,24.960328107699752
17,0.0012053591102206458,0.0011981438340929647,0.0015637956558272152,0.056746333837509155,5.0,3.8242173194885254,24.960328107699752
18,0.001237846037838608,0.0011981438340929647,0.001709868473837906,0.04588613286614418,5.0,3.8242173194885254,24.960328107699752
19,0.0012169426093654085,0.0011981438340929647,0.0014701352636274396,0.036193013191223145,5.0,3.8242173194885254,24.960328107699752
20,0.0012030876726688196,0.0011981438340929647,0.0013061549495129534,0.028955915942788124,5.0,3.8242173194885254,24.960328107699752
21,0.001203641266329214,0.0011981438340929647,0.0012245586909730697,0.025439849123358727,5.0,3.8242173194885254,24.960328107699752
22,0.0011957393726333976,0.0011957393726333976,0.0013306414794420735,0.022549215704202652,5.0,3.9053916931152344,24.97562562348321
23,0.0011957258878586192,0.0011957258878586192,0.0012042393458874098,0.019986633211374283,5.0,3.9046669006347656,25.269030146300793
24,0.0011901759717147797,0.0011901759717147797,0.0011950218052204167,0.0164038073271513,5.0,3.9186453819274902,25.31775638461113
25,0.0011960223879820357,0.0011901759717147797,0.001209579118516385,0.014181370846927166,5.0,3.9186453819274902,25.31775638461113
26,0.0011893673023829858,0.0011893673023829858,0.0011962186919325696,0.011417019180953503,5.0,3.901517391204834,25.446462593972683
27,0.0011904355196747929,0.0011893673023829858,0.0011945639132699443,0.008851435035467148,5.0,3.901517391204834,25.446462593972683
28,0.0011924798115311812,0.0011893673023829858,0.0011969559820413235,0.007361459545791149,5.0,3.901517391204834,25.446462593972683
29,0.0011908634138914447,0.0011893673023829858,0.0011965357878666726,0.005733811296522617,5.0,3.901517391204834,25.446462593972683
30,0.001190129619014139,0.0011893673023829858,0.0011964118110925138,0.004494343884289265,5.0,3.901517391204834,25.446462593972683
31,0.0011898114171344787,0.0011893673023829858,0.0011929959194579474,0.0035588527098298073,5.0,3.901517391204834,25.446462593972683
32,0.0011895615704512845,0.0011893673023829858,0.001191696447287021,0.003126326948404312,5.0,3.901517391204834,25.446462593972683
33,0.0011891793789497267,0.0011891793789497267,0.0011924866814210654,0.0024266138207167387,5.0,3.9037156105041504,25.315391086041927
34,0.0011878878964732091,0.0011878878964732091,0.001191079701086329,0.002272794023156166,5.0,3.9075851440429688,25.333834998309612
35,0.0011880277597811073,0.0011878878964732091,0.001190896660167103,0.0019032276468351483,5.0,3.9075851440429688,25.333834998309612
36,0.0011885982821695507,0.0011878878964732091,0.001190242595926282,0.0015078972792252898,5.0,3.9075851440429688,25.333834998309612
37,0.001185239360590155,0.001185239360590155,0.00118999629298092,0.001212173723615706,5.0,3.9125776290893555,25.32760750502348
38,0.0011843855706198763,0.0011843855706198763,0.0011879142174231155,0.0009200123022310436,5.0,3.911871910095215,25.33351879566908
39,0.001186139784598102,0.0011843855706198763,0.0011885244776273058,0.0007907921099103987,5.0,3.911871910095215,25.33351879566908
40,0.0011872095443929236,0.0011843855706198763,0.0011885879974302262,0.0006085788481868804,5.0,3.911871910095215,25.33351879566908
41,0.0011876991484314203,0.0011843855706198763,0.00118900520638341,0.0004615017387550324,5.0,3.911871910095215,25.33351879566908
42,0.0011848077701870352,0.0011843855706198763,0.001188051223012042,0.00037778951809741557,5.0,3.911871910095215,25.33351879566908
43,0.0011863821321943153,0.0011843855706198763,0.0011883622057558528,0.0003069104568567127,5.0,3.911871910095215,25.33351879566908
44,0.0011849558116712917,0.0011843855706198763,0.0011869166850201076,0.0002503996656741947,5.0,3.911871910095215,25.33351879566908
45,0.0011845489013163994,0.0011843855706198763,0.0011873146050631821,0.00020958400273229927,5.0,3.911871910095215,25.33351879566908
46,0.0011853094523151715,0.0011843855706198763,0.001186975987539405,0.00017067341832444072,5.0,3.911871910095215,25.33351879566908
47,0.0011855066889741768,0.0011843855706198763,0.0011872066132214275,0.00013387887156568468,5.0,3.911871910095215,25.33351879566908
48,0.0011860275408253074,0.0011843855706198763,0.001188179741369649,0.00011008428555214778,5.0,3.911871910095215,25.33351879566908
49,0.0011854311063264806,0.0011843855706198763,0.0011866602747301971,8.414729381911457e-05,5.0,3.911871910095215,25.33351879566908
50,0.0011848455178551376,0.0011843855706198763,0.00118607188813344,6.421298166969791e-05,5.0,3.911871910095215,25.33351879566908
51,0.0011838076752610505,0.0011838076752610505,0.001186141471234372,5.089623300591484e-05,5.0,3.912351131439209,25.333220027387142
52,0.0011827525061865647,0.0011827525061865647,0.0011861267987461315,4.0011782402871177e-05,5.0,3.912343978881836,25.332997776567936
53,0.001183464900047208,0.0011827525061865647,0.0011862026419424052,3.1844316254137084e-05,5.0,3.912343978881836,25.332997776567936
54,0.001183405964790533,0.0011827525061865647,0.0011861995015005095,2.4296181436511688e-05,5.0,3.912343978881836,25.332997776567936
55,0.001184160578607892,0.0011827525061865647,0.0011856268683914095,1.8825166989699937e-05,5.0,3.912343978881836,25.332997776567936
56,0.0011832175368908793,0.0011827525061865647,0.0011849493298324801,1.4411741176445503e-05,5.0,3.912343978881836,25.332997776567936
57,0.0011821475830705215,0.0011821475830705215,0.001185311772306228,1.1028340850316454e-05,5.0,3.912363052368164,25.3330347687006
58,0.00118209693270425,0.00118209693270425,0.001183930092901435,8.623824214737397e-06,5.0,3.912370204925537,25.33300593495369
59,0.0011818445636890829,0.0011818445636890829,0.0011829247398834144,6.527017376356525e-06,5.0,3.912367820739746,25.33302415162325
60,0.001182662070884059,0.0011818445636890829,0.001184049109551346,5.038950348534854e-06,5.0,3.912367820739746,25.33302415162325
61,0.0011819830203118424,0.0011818445636890829,0.0011828692070031093,3.886375907313777e-06,5.0,3.912367820739746,25.33302415162325
62,0.0011821129107071708,0.0011818445636890829,0.0011830520386519356,2.983707645398681e-06,5.0,3.912367820739746,25.33302415162325
63,0.001181842148071155,0.001181842148071155,0.0011832575241680302,2.2571723548026057e-06,5.0,3.912370204925537,25.333018004894257
64,0.0011819904126847784,0.001181842148071155,0.00118291319120631,1.7436107100365916e-06,5.0,3.912370204925537,25.333018004894257
65,0.0011820345534943044,0.001181842148071155,0.0011826655162232263,1.3208189102442702e-06,5.0,3.912370204925537,25.333018004894257
66,0.0011818624916486442,0.001181842148071155,0.00118204914837233,1.0011451649916125e-06,5.0,3.912370204925537,25.333018004894257
67,0.0011820144815525662,0.001181842148071155,0.0011824641773100233,7.562218229395512e-07,5.0,3.912370204925537,25.333018004894257
68,0.001181666962414359,0.001181666962414359,0.0011820790657241429,5.692090780939907e-07,5.0,3.912370204925537,25.333004221320152
69,0.0011818624916486442,0.001181666962414359,0.0011821232467246728,4.3001674043807725e-07,5.0,3.912370204925537,25.333004221320152
70,0.0011818624916486442,0.001181666962414359,0.0011820322917109089,3.245809807594924e-07,5.0,3.912370204925537,25.333004221320152
71,0.0011818624916486442,0.001181666962414359,0.0011820245459343173,2.45365754381055e-07,5.0,3.912370204925537,25.333004221320152
72,0.0011818624916486442,0.001181666962414359,0.0011819356129438216,1.8506783305838326e-07,5.0,3.912370204925537,25.333004221320152
73,0.0011818624916486442,0.001181666962414359,0.001181917696071434,1.394327426851305e-07,5.0,3.912370204925537,25.333004221320152
74,0.0011818624916486442,0.001181666962414359,0.0011818959832280167,1.0580498610579525e-07,5.0,3.912370204925537,25.333004221320152
75,0.0011818624916486442,0.001181666962414359,0.0011818842044920618,8.06253623863995e-08,5.0,3.912370204925537,25.333004221320152
76,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,6.15885014099149e-08,5.0,3.912370204925537,25.333004221320152
77,0.0011818624916486442,0.001181666962414359,0.0011818842044920618,4.651546348100055e-08,5.0,3.912370204925537,25.333004221320152
78,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,3.514579560714992e-08,5.0,3.912370204925537,25.333004221320152
79,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,2.6733708580195525e-08,5.0,3.912370204925537,25.333004221320152
80,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,2.040121493962488e-08,5.0,3.912370204925537,25.333004221320152
81,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,1.5613895953947576e-08,5.0,3.912370204925537,25.333004221320152
82,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,1.177701047794244e-08,5.0,3.912370204925537,25.333004221320152
83,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,9.041421833444474e-09,5.0,3.912370204925537,25.333004221320152
84,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,6.921044182206515e-09,5.0,3.912370204925537,25.333004221320152
85,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,5.256939772380065e-09,5.0,3.912370204925537,25.333004221320152
86,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,4.131235353810325e-09,5.0,3.912370204925537,25.333004221320152
87,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,3.303350704086938e-09,5.0,3.912370204925537,25.333004221320152
88,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,2.5754169907798996e-09,5.0,3.912370204925537,25.333004221320152
89,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,1.9777439685952913e-09,5.0,3.912370204925537,25.333004221320152
90,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,1.505087166009389e-09,5.0,3.912370204925537,25.333004221320152
91,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,1.1392037313484593e-09,5.0,3.912370204925537,25.333004221320152
92,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,8.594766010006083e-10,5.0,3.912370204925537,25.333004221320152
93,0.0011818624916486442,0.001181666962414359,0.0011818624916486442,6.471796987206346e-10,5.0,3.912370204925537,25.333004221320152
