generation,candidate,composite_mse,K_ca1,beta_latent,beta_output
0,0,0.36337803304195404,7.0,43.00494909286499,30.019054412841797
0,1,0.39189861714839935,7.0,63.14815044403076,46.673500537872314
0,2,0.40184323489665985,4.0,1.0,66.33862018585205
0,3,0.2711886689066887,6.0,18.94345760345459,10.106561183929443
0,4,0.24444906413555145,1.0,25.489627867937088,5.587378740310669
0,5,0.34557317197322845,2.0,24.5106403157115,39.25912857055664
0,6,0.3885473906993866,8.0,30.33067762851715,54.19266939163208
1,0,0.24391549080610275,4.0,27.615130245685577,1.0
1,1,0.2889293506741524,6.0,11.56667709350586,15.619862675666809
1,2,0.3361292630434036,5.0,19.890292286872864,28.2687908411026
1,3,0.23484215885400772,8.0,13.629612922668457,2.828388214111328
1,4,0.29018064588308334,8.0,2.6617813110351562,15.311164855957031
1,5,0.24029742926359177,10.0,43.64652752876282,1.0
1,6,0.26427916437387466,4.0,13.004595041275024,11.177961826324463
