root_seed,rule,fraction,mask_index,output_cosine,identity,dropped_units
31001,base,0.0,0,0.8577674918521931,0.24,0
31001,base,0.0,1,0.8577674918521931,0.24,0
31001,base,0.0,2,0.8577674918521931,0.24,0
31001,base,0.0,3,0.8577674918521931,0.24,0
31001,base,0.0,4,0.8577674918521931,0.24,0
31001,base,0.0,5,0.8577674918521931,0.24,0
31001,base,0.0,6,0.8577674918521931,0.24,0
31001,base,0.0,7,0.8577674918521931,0.24,0
31001,base,0.25,0,0.8359251425540632,0.14,12
31001,base,0.25,1,0.8285675037027641,0.16,12
31001,base,0.25,2,0.8301857909419007,0.2,12
31001,base,0.25,3,0.8585304736260878,0.2,12
31001,base,0.25,4,0.8251156313078141,0.08,12
31001,base,0.25,5,0.8490955628279768,0.24,12
31001,base,0.25,6,0.8455872250988993,0.16,12
31001,base,0.25,7,0.8224424759416751,0.14,12
31001,base,0.5,0,0.6919975829013884,0.08,25
31001,base,0.5,1,0.7490702503648794,0.1,25
31001,base,0.5,2,0.7928033965163925,0.08,25
31001,base,0.5,3,0.7707279701967691,0.12,25
31001,base,0.5,4,0.7258718113276799,0.06,25
31001,base,0.5,5,0.7494974338891701,0.08,25
31001,base,0.5,6,0.729108691583106,0.08,25
31001,base,0.5,7,0.7720598813323306,0.08,25
31001,base,0.75,0,0.7318045282828085,0.12,38
31001,base,0.75,1,0.4816867771784399,0.06,38
31001,base,0.75,2,0.4814874545325933,0.08,38
31001,base,0.75,3,0.7053528219105655,0.08,38
31001,base,0.75,4,0.6939353766270169,0.08,38
31001,base,0.75,5,0.7062002420856127,0.06,38
31001,base,0.75,6,0.6766058207187018,0.08,38
31001,base,0.75,7,0.7633057239059683,0.08,38
31001,base,0.9,0,0.5782173755583402,0.04,45
31001,base,0.9,1,0.5106951232981387,0.04,45
31001,base,0.9,2,0.4930767053857843,0.04,45
31001,base,0.9,3,0.51007861984248,0.1,45
31001,base,0.9,4,0.666689556413748,0.06,45
31001,base,0.9,5,0.6970300517689115,0.08,45
31001,base,0.9,6,0.2900628047755302,0.02,45
31001,base,0.9,7,0.7190677647293984,0.06,45
31001,err2,0.0,0,0.9294540515148378,0.58,0
31001,err2,0.0,1,0.9294540515148378,0.58,0
31001,err2,0.0,2,0.9294540515148378,0.58,0
31001,err2,0.0,3,0.9294540515148378,0.58,0
31001,err2,0.0,4,0.9294540515148378,0.58,0
31001,err2,0.0,5,0.9294540515148378,0.58,0
31001,err2,0.0,6,0.9294540515148378,0.58,0
31001,err2,0.0,7,0.9294540515148378,0.58,0
31001,err2,0.25,0,0.8200128462582463,0.4,12
31001,err2,0.25,1,0.8734665821771612,0.38,12
31001,err2,0.25,2,0.8132838524461669,0.32,12
31001,err2,0.25,3,0.765530677509953,0.26,12
31001,err2,0.25,4,0.8621087634749902,0.4,12
31001,err2,0.25,5,0.8658596922289767,0.36,12
31001,err2,0.25,6,0.8336227948752051,0.4,12
31001,err2,0.25,7,0.8624026425840313,0.4,12
31001,err2,0.5,0,0.5572234643972034,0.12,25
31001,err2,0.5,1,0.7541887128721292,0.28,25
31001,err2,0.5,2,0.7176789789691098,0.24,25
31001,err2,0.5,3,0.6440709323300957,0.22,25
31001,err2,0.5,4,0.5922016641092883,0.16,25
31001,err2,0.5,5,0.6056901751595289,0.18,25
31001,err2,0.5,6,0.6827704798295043,0.24,25
31001,err2,0.5,7,0.6745436673651135,0.32,25
31001,err2,0.75,0,0.6544311803823268,0.12,38
31001,err2,0.75,1,0.5581694295506469,0.14,38
31001,err2,0.75,2,0.475950676309863,0.04,38
31001,err2,0.75,3,0.5161641928357766,0.04,38
31001,err2,0.75,4,0.5131100922823119,0.04,38
31001,err2,0.75,5,0.5664812275449063,0.18,38
31001,err2,0.75,6,0.5142592721688284,0.12,38
31001,err2,0.75,7,0.4968318675374237,0.08,38
31001,err2,0.9,0,0.37271226074845387,0.04,45
31001,err2,0.9,1,0.3708960181816064,0.02,45
31001,err2,0.9,2,0.44772847081170863,0.04,45
31001,err2,0.9,3,0.3683105703890909,0.04,45
31001,err2,0.9,4,0.3392745453312699,0.06,45
31001,err2,0.9,5,0.38121461952527236,0.04,45
31001,err2,0.9,6,0.40368570219444927,0.04,45
31001,err2,0.9,7,0.2613053981613992,0.02,45
31002,base,0.0,0,0.8194513098277085,0.12,0
31002,base,0.0,1,0.8194513098277085,0.12,0
31002,base,0.0,2,0.8194513098277085,0.12,0
31002,base,0.0,3,0.8194513098277085,0.12,0
31002,base,0.0,4,0.8194513098277085,0.12,0
31002,base,0.0,5,0.8194513098277085,0.12,0
31002,base,0.0,6,0.8194513098277085,0.12,0
31002,base,0.0,7,0.8194513098277085,0.12,0
31002,base,0.25,0,0.7944671810439645,0.06,12
31002,base,0.25,1,0.7939353305710186,0.16,12
31002,base,0.25,2,0.8028818381705055,0.18,12
31002,base,0.25,3,0.7885792537303602,0.1,12
31002,base,0.25,4,0.80631595086594,0.12,12
31002,base,0.25,5,0.8093790061363748,0.22,12
31002,base,0.25,6,0.8213636506236965,0.24,12
31002,base,0.25,7,0.7931245908434214,0.1,12
31002,base,0.5,0,0.7607209586596685,0.18,25
31002,base,0.5,1,0.7257957813365272,0.1,25
31002,base,0.5,2,0.7911524520858433,0.16,25
31002,base,0.5,3,0.5619465052273153,0.04,25
31002,base,0.5,4,0.7181416419855292,0.14,25
31002,base,0.5,5,0.7580966204316946,0.12,25
31002,base,0.5,6,0.7843807439024233,0.1,25
31002,base,0.5,7,0.8267992578341314,0.22,25
31002,base,0.75,0,0.5277497677457856,0.08,38
31002,base,0.75,1,0.46136072780912174,0.04,38
31002,base,0.75,2,0.7403887543767464,0.08,38
31002,base,0.75,3,0.443267128695948,0.06,38
31002,base,0.75,4,0.503810217716556,0.1,38
31002,base,0.75,5,0.6837326428669422,0.1,38
31002,base,0.75,6,0.6767986380873715,0.08,38
31002,base,0.75,7,0.7346326720098842,0.06,38
31002,base,0.9,0,0.6018752970911107,0.06,45
31002,base,0.9,1,0.678897193214121,0.08,45
31002,base,0.9,2,0.49149816924666134,0.04,45
31002,base,0.9,3,0.48058984638815955,0.06,45
31002,base,0.9,4,0.6555122745214658,0.1,45
31002,base,0.9,5,0.5956104364924992,0.06,45
31002,base,0.9,6,0.38160293683369745,0.04,45
31002,base,0.9,7,0.4657471310576974,0.06,45
31002,err2,0.0,0,0.9487989568719776,0.82,0
31002,err2,0.0,1,0.9487989568719776,0.82,0
