experiment,seed,plasticity_rule,condition,memory,output_target_cosine,from_lap,to_lap,cue_changed,tuning_similarity
compatibility,51001,base,aligned,0,0.8250245451927185,,,,
compatibility,51001,base,aligned,1,0.9075471758842468,,,,
compatibility,51001,base,aligned,2,0.9959656000137329,,,,
compatibility,51001,base,aligned,3,0.8727594614028931,,,,
compatibility,51001,base,aligned,4,0.9274342656135559,,,,
compatibility,51001,base,aligned,5,0.7766026854515076,,,,
compatibility,51001,base,aligned,6,0.8787580728530884,,,,
compatibility,51001,base,aligned,7,0.9754371047019958,,,,
compatibility,51001,base,aligned,8,0.9399914741516113,,,,
compatibility,51001,base,aligned,9,0.9715394377708435,,,,
compatibility,51001,base,aligned,10,0.8320127725601196,,,,
compatibility,51001,base,aligned,11,0.8936654329299927,,,,
compatibility,51001,base,aligned,12,0.9535261988639832,,,,
compatibility,51001,base,aligned,13,0.8327568173408508,,,,
compatibility,51001,base,aligned,14,0.8520438075065613,,,,
compatibility,51001,base,aligned,15,0.6192662119865417,,,,
compatibility,51001,base,aligned,16,0.9959656000137329,,,,
compatibility,51001,base,aligned,17,0.9891594052314758,,,,
compatibility,51001,base,aligned,18,0.9193829298019409,,,,
compatibility,51001,base,aligned,19,0.999974250793457,,,,
compatibility,51001,base,aligned,20,0.7940801978111267,,,,
compatibility,51001,base,aligned,21,0.9989491105079651,,,,
compatibility,51001,base,aligned,22,0.9518550038337708,,,,
compatibility,51001,base,aligned,23,0.8319050073623657,,,,
compatibility,51001,base,aligned,24,0.8728646039962769,,,,
compatibility,51001,base,aligned,25,0.7345882654190063,,,,
compatibility,51001,base,aligned,26,0.8790212273597717,,,,
compatibility,51001,base,aligned,27,0.9123456478118896,,,,
compatibility,51001,base,fixed_permutation,0,0.21495360136032104,,,,
compatibility,51001,base,fixed_permutation,1,0.18631771206855774,,,,
compatibility,51001,base,fixed_permutation,2,0.18506072461605072,,,,
compatibility,51001,base,fixed_permutation,3,0.09171917289495468,,,,
compatibility,51001,base,fixed_permutation,4,0.0404021181166172,,,,
compatibility,51001,base,fixed_permutation,5,0.16785812377929688,,,,
compatibility,51001,base,fixed_permutation,6,0.16836297512054443,,,,
compatibility,51001,base,fixed_permutation,7,0.3220854699611664,,,,
compatibility,51001,base,fixed_permutation,8,0.45343515276908875,,,,
compatibility,51001,base,fixed_permutation,9,0.14404238760471344,,,,
compatibility,51001,base,fixed_permutation,10,0.13233976066112518,,,,
compatibility,51001,base,fixed_permutation,11,0.17157624661922455,,,,
compatibility,51001,base,fixed_permutation,12,0.23048393428325653,,,,
compatibility,51001,base,fixed_permutation,13,0.06681958585977554,,,,
compatibility,51001,base,fixed_permutation,14,0.12783105671405792,,,,
compatibility,51001,base,fixed_permutation,15,2.635718487908889e-07,,,,
compatibility,51001,base,fixed_permutation,16,0.18506072461605072,,,,
compatibility,51001,base,fixed_permutation,17,0.023915432393550873,,,,
compatibility,51001,base,fixed_permutation,18,0.2302359640598297,,,,
compatibility,51001,base,fixed_permutation,19,0.007947172969579697,,,,
compatibility,51001,base,fixed_permutation,20,0.27012860774993896,,,,
compatibility,51001,base,fixed_permutation,21,0.21355333924293518,,,,
compatibility,51001,base,fixed_permutation,22,0.11216259002685547,,,,
compatibility,51001,base,fixed_permutation,23,0.0028113676235079765,,,,
compatibility,51001,base,fixed_permutation,24,0.10701925307512283,,,,
compatibility,51001,base,fixed_permutation,25,0.12074729055166245,,,,
compatibility,51001,base,fixed_permutation,26,0.09437549859285355,,,,
compatibility,51001,base,fixed_permutation,27,0.17035962641239166,,,,
compatibility,51001,base,matched_decoder,0,0.8250246047973633,,,,
compatibility,51001,base,matched_decoder,1,0.9075471758842468,,,,
compatibility,51001,base,matched_decoder,2,0.9959656000137329,,,,
compatibility,51001,base,matched_decoder,3,0.8727594614028931,,,,
compatibility,51001,base,matched_decoder,4,0.9274342656135559,,,,
compatibility,51001,base,matched_decoder,5,0.7766026854515076,,,,
compatibility,51001,base,matched_decoder,6,0.8787580728530884,,,,
compatibility,51001,base,matched_decoder,7,0.9754371047019958,,,,
compatibility,51001,base,matched_decoder,8,0.9399914741516113,,,,
compatibility,51001,base,matched_decoder,9,0.9715394377708435,,,,
compatibility,51001,base,matched_decoder,10,0.8320127725601196,,,,
compatibility,51001,base,matched_decoder,11,0.8936654329299927,,,,
compatibility,51001,base,matched_decoder,12,0.9535261988639832,,,,
compatibility,51001,base,matched_decoder,13,0.8327568173408508,,,,
compatibility,51001,base,matched_decoder,14,0.8520438075065613,,,,
compatibility,51001,base,matched_decoder,15,0.6192662119865417,,,,
compatibility,51001,base,matched_decoder,16,0.9959656000137329,,,,
compatibility,51001,base,matched_decoder,17,0.9891592264175415,,,,
compatibility,51001,base,matched_decoder,18,0.9193829298019409,,,,
compatibility,51001,base,matched_decoder,19,0.999974250793457,,,,
compatibility,51001,base,matched_decoder,20,0.7940801978111267,,,,
compatibility,51001,base,matched_decoder,21,0.9989491105079651,,,,
compatibility,51001,base,matched_decoder,22,0.9518550038337708,,,,
compatibility,51001,base,matched_decoder,23,0.8319050073623657,,,,
compatibility,51001,base,matched_decoder,24,0.8728646039962769,,,,
