experiment,seed,plasticity_rule,condition,memory,output_target_cosine,from_lap,to_lap,cue_changed,tuning_similarity
compatibility,51001,base,aligned,0,0.028633244335651398,,,,
compatibility,51001,base,aligned,1,0.04597976431250572,,,,
compatibility,51001,base,aligned,2,0.014958567917346954,,,,
compatibility,51001,base,aligned,3,0.004403566941618919,,,,
compatibility,51001,base,aligned,4,0.0062336912378668785,,,,
compatibility,51001,base,aligned,5,0.08103962242603302,,,,
compatibility,51001,base,aligned,6,0.2808651626110077,,,,
compatibility,51001,base,aligned,7,0.28902962803840637,,,,
compatibility,51001,base,aligned,8,0.28314751386642456,,,,
compatibility,51001,base,aligned,9,0.013439247384667397,,,,
compatibility,51001,base,aligned,10,0.02139672264456749,,,,
compatibility,51001,base,aligned,11,0.0025075338780879974,,,,
compatibility,51001,base,aligned,12,0.0025077543687075377,,,,
compatibility,51001,base,aligned,13,0.018314173445105553,,,,
compatibility,51001,base,aligned,14,0.01682439260184765,,,,
compatibility,51001,base,aligned,15,0.08119291812181473,,,,
compatibility,51001,base,aligned,16,0.0011573967058211565,,,,
compatibility,51001,base,aligned,17,0.10049420595169067,,,,
compatibility,51001,base,aligned,18,0.010682379826903343,,,,
compatibility,51001,base,aligned,19,0.0573689304292202,,,,
compatibility,51001,base,aligned,20,0.012703404761850834,,,,
compatibility,51001,base,aligned,21,0.0022120214998722076,,,,
compatibility,51001,base,aligned,22,0.3786677122116089,,,,
compatibility,51001,base,aligned,23,0.016938624903559685,,,,
compatibility,51001,base,aligned,24,0.17014920711517334,,,,
compatibility,51001,base,aligned,25,0.008913466706871986,,,,
compatibility,51001,base,aligned,26,0.36271539330482483,,,,
compatibility,51001,base,aligned,27,0.05231904610991478,,,,
compatibility,51001,base,fixed_permutation,0,0.03062858060002327,,,,
compatibility,51001,base,fixed_permutation,1,0.04644443094730377,,,,
compatibility,51001,base,fixed_permutation,2,0.014537341892719269,,,,
compatibility,51001,base,fixed_permutation,3,0.004720428492873907,,,,
compatibility,51001,base,fixed_permutation,4,0.006673862691968679,,,,
compatibility,51001,base,fixed_permutation,5,0.07871881872415543,,,,
compatibility,51001,base,fixed_permutation,6,0.27872776985168457,,,,
compatibility,51001,base,fixed_permutation,7,0.28967535495758057,,,,
compatibility,51001,base,fixed_permutation,8,0.2821830213069916,,,,
compatibility,51001,base,fixed_permutation,9,0.013613410294055939,,,,
compatibility,51001,base,fixed_permutation,10,0.022038819268345833,,,,
compatibility,51001,base,fixed_permutation,11,0.0026508846785873175,,,,
compatibility,51001,base,fixed_permutation,12,0.002338716294616461,,,,
compatibility,51001,base,fixed_permutation,13,0.01843322068452835,,,,
compatibility,51001,base,fixed_permutation,14,0.017089832574129105,,,,
compatibility,51001,base,fixed_permutation,15,0.08386929333209991,,,,
compatibility,51001,base,fixed_permutation,16,0.0011211928213015199,,,,
compatibility,51001,base,fixed_permutation,17,0.0995415523648262,,,,
compatibility,51001,base,fixed_permutation,18,0.01080248598009348,,,,
compatibility,51001,base,fixed_permutation,19,0.05728698521852493,,,,
compatibility,51001,base,fixed_permutation,20,0.013959539122879505,,,,
compatibility,51001,base,fixed_permutation,21,0.0022889701649546623,,,,
compatibility,51001,base,fixed_permutation,22,0.377432644367218,,,,
compatibility,51001,base,fixed_permutation,23,0.01669088564813137,,,,
compatibility,51001,base,fixed_permutation,24,0.1762663722038269,,,,
compatibility,51001,base,fixed_permutation,25,0.00923023372888565,,,,
compatibility,51001,base,fixed_permutation,26,0.3578726649284363,,,,
compatibility,51001,base,fixed_permutation,27,0.05640555918216705,,,,
compatibility,51001,base,matched_decoder,0,0.02863324247300625,,,,
compatibility,51001,base,matched_decoder,1,0.04597977548837662,,,,
compatibility,51001,base,matched_decoder,2,0.01495856698602438,,,,
compatibility,51001,base,matched_decoder,3,0.0044035655446350574,,,,
compatibility,51001,base,matched_decoder,4,0.006233684252947569,,,,
compatibility,51001,base,matched_decoder,5,0.08103962987661362,,,,
compatibility,51001,base,matched_decoder,6,0.2808651626110077,,,,
compatibility,51001,base,matched_decoder,7,0.28902962803840637,,,,
compatibility,51001,base,matched_decoder,8,0.28314751386642456,,,,
compatibility,51001,base,matched_decoder,9,0.013439259491860867,,,,
compatibility,51001,base,matched_decoder,10,0.021396733820438385,,,,
compatibility,51001,base,matched_decoder,11,0.0025075306184589863,,,,
compatibility,51001,base,matched_decoder,12,0.0025077525060623884,,,,
compatibility,51001,base,matched_decoder,13,0.01831415668129921,,,,
compatibility,51001,base,matched_decoder,14,0.016824398189783096,,,,
compatibility,51001,base,matched_decoder,15,0.08119294047355652,,,,
compatibility,51001,base,matched_decoder,16,0.0011573975207284093,,,,
compatibility,51001,base,matched_decoder,17,0.10049418359994888,,,,
compatibility,51001,base,matched_decoder,18,0.010682374238967896,,,,
compatibility,51001,base,matched_decoder,19,0.05736894533038139,,,,
compatibility,51001,base,matched_decoder,20,0.012703402899205685,,,,
compatibility,51001,base,matched_decoder,21,0.002212019870057702,,,,
compatibility,51001,base,matched_decoder,22,0.3786676824092865,,,,
compatibility,51001,base,matched_decoder,23,0.01693861000239849,,,,
compatibility,51001,base,matched_decoder,24,0.17014917731285095,,,,
compatibility,51001,base,matched_decoder,25,0.008913470432162285,,,,
compatibility,51001,base,matched_decoder,26,0.36271536350250244,,,,
compatibility,51001,base,matched_decoder,27,0.052319057285785675,,,,
compatibility,51001,base,random_content,0,0.02885075844824314,,,,
compatibility,51001,base,random_content,1,0.04602985084056854,,,,
compatibility,51001,base,random_content,2,0.01421360857784748,,,,
compatibility,51001,base,random_content,3,0.004596127197146416,,,,
compatibility,51001,base,random_content,4,0.005983803421258926,,,,
compatibility,51001,base,random_content,5,0.08167155832052231,,,,
compatibility,51001,base,random_content,6,0.2803390622138977,,,,
compatibility,51001,base,random_content,7,0.2900001108646393,,,,
compatibility,51001,base,random_content,8,0.2834036648273468,,,,
compatibility,51001,base,random_content,9,0.013164903037250042,,,,
compatibility,51001,base,random_content,10,0.021242668852210045,,,,
compatibility,51001,base,random_content,11,0.002501824637874961,,,,
compatibility,51001,base,random_content,12,0.002404266269877553,,,,
compatibility,51001,base,random_content,13,0.01820775866508484,,,,
compatibility,51001,base,random_content,14,0.015773169696331024,,,,
compatibility,51001,base,random_content,15,0.08040892332792282,,,,
compatibility,51001,base,random_content,16,0.0011458398075774312,,,,
compatibility,51001,base,random_content,17,0.10128355026245117,,,,
compatibility,51001,base,random_content,18,0.010644267313182354,,,,
compatibility,51001,base,random_content,19,0.05552210286259651,,,,
compatibility,51001,base,random_content,20,0.012543335556983948,,,,
compatibility,51001,base,random_content,21,0.0021330914460122585,,,,
compatibility,51001,base,random_content,22,0.3781988322734833,,,,
