experiment,seed,plasticity_rule,condition,memory,output_target_cosine,from_lap,to_lap,cue_changed,tuning_similarity
compatibility,51001,base,aligned,0,0.1561582237482071,,,,
compatibility,51001,base,aligned,1,0.38442498445510864,,,,
compatibility,51001,base,aligned,2,0.019169233739376068,,,,
compatibility,51001,base,aligned,3,0.026431957259774208,,,,
compatibility,51001,base,aligned,4,0.30444177985191345,,,,
compatibility,51001,base,aligned,5,0.0899396687746048,,,,
compatibility,51001,base,aligned,6,0.29776227474212646,,,,
compatibility,51001,base,aligned,7,0.26885488629341125,,,,
compatibility,51001,base,aligned,8,0.11591167002916336,,,,
compatibility,51001,base,aligned,9,0.04065248742699623,,,,
compatibility,51001,base,aligned,10,0.18223947286605835,,,,
compatibility,51001,base,aligned,11,0.17128176987171173,,,,
compatibility,51001,base,aligned,12,0.10585814714431763,,,,
compatibility,51001,base,aligned,13,0.08697614818811417,,,,
compatibility,51001,base,aligned,14,0.18337661027908325,,,,
compatibility,51001,base,aligned,15,0.2326379269361496,,,,
compatibility,51001,base,aligned,16,0.045305609703063965,,,,
compatibility,51001,base,aligned,17,0.20303839445114136,,,,
compatibility,51001,base,aligned,18,0.09519825875759125,,,,
compatibility,51001,base,aligned,19,0.3224053978919983,,,,
compatibility,51001,base,aligned,20,0.17154322564601898,,,,
compatibility,51001,base,aligned,21,0.16145272552967072,,,,
compatibility,51001,base,aligned,22,0.17074507474899292,,,,
compatibility,51001,base,aligned,23,0.274629145860672,,,,
compatibility,51001,base,aligned,24,0.2647148668766022,,,,
compatibility,51001,base,aligned,25,0.0019006116781383753,,,,
compatibility,51001,base,aligned,26,0.2303016483783722,,,,
compatibility,51001,base,aligned,27,0.13391606509685516,,,,
compatibility,51001,base,fixed_permutation,0,0.3044454753398895,,,,
compatibility,51001,base,fixed_permutation,1,0.452709436416626,,,,
compatibility,51001,base,fixed_permutation,2,0.16202011704444885,,,,
compatibility,51001,base,fixed_permutation,3,0.14793474972248077,,,,
compatibility,51001,base,fixed_permutation,4,0.3589632213115692,,,,
compatibility,51001,base,fixed_permutation,5,0.1191733106970787,,,,
compatibility,51001,base,fixed_permutation,6,0.2579156458377838,,,,
compatibility,51001,base,fixed_permutation,7,0.5912959575653076,,,,
compatibility,51001,base,fixed_permutation,8,0.01377116795629263,,,,
compatibility,51001,base,fixed_permutation,9,0.25093334913253784,,,,
compatibility,51001,base,fixed_permutation,10,0.23703303933143616,,,,
compatibility,51001,base,fixed_permutation,11,0.19392302632331848,,,,
compatibility,51001,base,fixed_permutation,12,0.09494633227586746,,,,
compatibility,51001,base,fixed_permutation,13,0.2737138569355011,,,,
compatibility,51001,base,fixed_permutation,14,0.18832799792289734,,,,
compatibility,51001,base,fixed_permutation,15,0.27487412095069885,,,,
compatibility,51001,base,fixed_permutation,16,0.1947186142206192,,,,
compatibility,51001,base,fixed_permutation,17,0.10030778497457504,,,,
compatibility,51001,base,fixed_permutation,18,0.03665401041507721,,,,
compatibility,51001,base,fixed_permutation,19,0.27997249364852905,,,,
compatibility,51001,base,fixed_permutation,20,0.3272116482257843,,,,
compatibility,51001,base,fixed_permutation,21,0.10683764517307281,,,,
compatibility,51001,base,fixed_permutation,22,0.2541849613189697,,,,
compatibility,51001,base,fixed_permutation,23,0.1473580151796341,,,,
compatibility,51001,base,fixed_permutation,24,0.32519298791885376,,,,
compatibility,51001,base,fixed_permutation,25,0.17074920237064362,,,,
compatibility,51001,base,fixed_permutation,26,0.12308765947818756,,,,
compatibility,51001,base,fixed_permutation,27,0.37334758043289185,,,,
compatibility,51001,base,matched_decoder,0,0.15615825355052948,,,,
compatibility,51001,base,matched_decoder,1,0.38442498445510864,,,,
compatibility,51001,base,matched_decoder,2,0.019169213250279427,,,,
compatibility,51001,base,matched_decoder,3,0.026431960985064507,,,,
compatibility,51001,base,matched_decoder,4,0.30444177985191345,,,,
compatibility,51001,base,matched_decoder,5,0.0899396687746048,,,,
compatibility,51001,base,matched_decoder,6,0.2977621853351593,,,,
compatibility,51001,base,matched_decoder,7,0.26885491609573364,,,,
compatibility,51001,base,matched_decoder,8,0.11591167002916336,,,,
compatibility,51001,base,matched_decoder,9,0.040652498602867126,,,,
compatibility,51001,base,matched_decoder,10,0.18223948776721954,,,,
compatibility,51001,base,matched_decoder,11,0.17128178477287292,,,,
compatibility,51001,base,matched_decoder,12,0.10585812479257584,,,,
compatibility,51001,base,matched_decoder,13,0.08697613328695297,,,,
compatibility,51001,base,matched_decoder,14,0.18337662518024445,,,,
compatibility,51001,base,matched_decoder,15,0.2326378971338272,,,,
compatibility,51001,base,matched_decoder,16,0.04530559480190277,,,,
compatibility,51001,base,matched_decoder,17,0.20303839445114136,,,,
compatibility,51001,base,matched_decoder,18,0.09519827365875244,,,,
compatibility,51001,base,matched_decoder,19,0.3224054276943207,,,,
compatibility,51001,base,matched_decoder,20,0.1715431809425354,,,,
compatibility,51001,base,matched_decoder,21,0.1614527553319931,,,,
compatibility,51001,base,matched_decoder,22,0.1707451045513153,,,,
compatibility,51001,base,matched_decoder,23,0.274629145860672,,,,
compatibility,51001,base,matched_decoder,24,0.2647148668766022,,,,
compatibility,51001,base,matched_decoder,25,0.0019006135407835245,,,,
compatibility,51001,base,matched_decoder,26,0.2303016632795334,,,,
compatibility,51001,base,matched_decoder,27,0.13391606509685516,,,,
compatibility,51001,base,random_content,0,0.15195609629154205,,,,
compatibility,51001,base,random_content,1,0.4366379976272583,,,,
compatibility,51001,base,random_content,2,0.10641288012266159,,,,
compatibility,51001,base,random_content,3,0.17068028450012207,,,,
compatibility,51001,base,random_content,4,0.04599421098828316,,,,
compatibility,51001,base,random_content,5,0.2418060451745987,,,,
compatibility,51001,base,random_content,6,0.30452537536621094,,,,
compatibility,51001,base,random_content,7,0.14149296283721924,,,,
compatibility,51001,base,random_content,8,0.23623737692832947,,,,
compatibility,51001,base,random_content,9,0.06309068948030472,,,,
compatibility,51001,base,random_content,10,0.20566248893737793,,,,
compatibility,51001,base,random_content,11,0.2024957537651062,,,,
compatibility,51001,base,random_content,12,0.09587130695581436,,,,
compatibility,51001,base,random_content,13,0.1316702961921692,,,,
compatibility,51001,base,random_content,14,0.03717845678329468,,,,
compatibility,51001,base,random_content,15,0.23098528385162354,,,,
compatibility,51001,base,random_content,16,0.19506573677062988,,,,
compatibility,51001,base,random_content,17,0.08521263301372528,,,,
compatibility,51001,base,random_content,18,0.08817756175994873,,,,
compatibility,51001,base,random_content,19,0.23389554023742676,,,,
compatibility,51001,base,random_content,20,0.14615343511104584,,,,
compatibility,51001,base,random_content,21,0.24635663628578186,,,,
compatibility,51001,base,random_content,22,0.18525326251983643,,,,
compatibility,51001,base,random_content,23,0.1875549554824829,,,,
compatibility,51001,base,random_content,24,0.11318021267652512,,,,
compatibility,51001,base,random_content,25,0.0038122059777379036,,,,
compatibility,51001,base,random_content,26,0.16663528978824615,,,,
compatibility,51001,base,random_content,27,0.11827293038368225,,,,
compatibility,51001,base,no_plasticity,0,0.07928670197725296,,,,
compatibility,51001,base,no_plasticity,1,0.11647026240825653,,,,
