experiment,seed,encoder_validation_mse,plasticity_rule,key_mode,dropped_fraction,mask_index,dropped_units,lec_cue_accuracy,lec_mec_cosine,mec_position_accuracy,mec_cue_accuracy
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,0,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,0,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,1,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,1,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,2,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,2,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,3,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,3,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,4,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,4,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,5,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,5,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,6,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,6,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,7,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,7,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,8,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,8,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,9,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,9,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,10,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,10,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.0,11,0,1.0,0.7293515801429749,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.0,11,0,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,0,6,1.0,0.7282790541648865,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,0,6,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,1,6,1.0,0.7274576425552368,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,1,6,,,0.18,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,2,6,1.0,0.7373318672180176,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,2,6,,,0.16,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,3,6,1.0,0.7297866940498352,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,3,6,,,0.12,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,4,6,1.0,0.7124837636947632,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,4,6,,,0.12,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,5,6,1.0,0.7196770310401917,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,5,6,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,6,6,1.0,0.7422657608985901,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,6,6,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,7,6,1.0,0.7108083367347717,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,7,6,,,0.16,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,8,6,1.0,0.7410066723823547,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,8,6,,,0.12,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,9,6,1.0,0.7139720916748047,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,9,6,,,0.16,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,10,6,1.0,0.7299510836601257,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,10,6,,,0.2,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.25,11,6,1.0,0.711742639541626,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.25,11,6,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,0,12,1.0,0.7357228994369507,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,0,12,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,1,12,1.0,0.6919465065002441,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,1,12,,,0.06,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,2,12,1.0,0.7191179394721985,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,2,12,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,3,12,1.0,0.7412261962890625,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,3,12,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,4,12,1.0,0.7306336164474487,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,4,12,,,0.06,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,5,12,1.0,0.7346267104148865,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,5,12,,,0.08,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,6,12,1.0,0.7325014472007751,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,6,12,,,0.06,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,7,12,1.0,0.7345178723335266,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,7,12,,,0.08,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,8,12,1.0,0.7195380926132202,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,8,12,,,0.1,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,9,12,1.0,0.7295310497283936,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,9,12,,,0.1,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,10,12,1.0,0.7333478331565857,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,10,12,,,0.14,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.5,11,12,1.0,0.7302438616752625,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.5,11,12,,,0.1,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.75,0,19,1.0,0.737632691860199,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.75,0,19,,,0.08,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.75,1,19,1.0,0.7466257214546204,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.75,1,19,,,0.06,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.75,2,19,1.0,0.735038697719574,,
mec_degradation,51001,0.0008721096091903746,base,normal,0.75,2,19,,,0.1,1.0
lec_degradation,51001,0.0008721096091903746,base,normal,0.75,3,19,1.0,0.7195609211921692,,
