experiment,seed,encoder_validation_mse,plasticity_rule,key_mode,dropped_fraction,mask_index,dropped_units,lec_cue_accuracy,lec_mec_cosine,mec_position_accuracy,mec_cue_accuracy
lec_degradation,51001,0.03420179337263107,base,normal,0.0,0,0,1.0,0.6985989212989807,,
mec_degradation,51001,0.03420179337263107,base,normal,0.0,0,0,,,0.16,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.0,1,0,1.0,0.6985989212989807,,
mec_degradation,51001,0.03420179337263107,base,normal,0.0,1,0,,,0.16,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.25,0,6,1.0,0.7178175449371338,,
mec_degradation,51001,0.03420179337263107,base,normal,0.25,0,6,,,0.14,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.25,1,6,1.0,0.7141848802566528,,
mec_degradation,51001,0.03420179337263107,base,normal,0.25,1,6,,,0.12,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.5,0,12,1.0,0.7336817979812622,,
mec_degradation,51001,0.03420179337263107,base,normal,0.5,0,12,,,0.08,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.5,1,12,1.0,0.7412550449371338,,
mec_degradation,51001,0.03420179337263107,base,normal,0.5,1,12,,,0.12,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.75,0,19,1.0,0.7743417620658875,,
mec_degradation,51001,0.03420179337263107,base,normal,0.75,0,19,,,0.06,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.75,1,19,1.0,0.7856343984603882,,
mec_degradation,51001,0.03420179337263107,base,normal,0.75,1,19,,,0.08,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.9,0,22,1.0,0.7997950911521912,,
mec_degradation,51001,0.03420179337263107,base,normal,0.9,0,22,,,0.08,1.0
lec_degradation,51001,0.03420179337263107,base,normal,0.9,1,22,1.0,0.804736316204071,,
mec_degradation,51001,0.03420179337263107,base,normal,0.9,1,22,,,0.06,1.0
lec_degradation,51001,0.03420179337263107,base,dense,0.0,0,0,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.0,0,0,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.0,1,0,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.0,1,0,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.25,0,6,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.25,0,6,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.25,1,6,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.25,1,6,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.5,0,12,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.5,0,12,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.5,1,12,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.5,1,12,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.75,0,19,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.75,0,19,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.75,1,19,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.75,1,19,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.9,0,22,0.5,0.3623502850532532,,
