generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
0,0,0.6786265959563078,33.0,5.0,156.6698616504669,25.042506980895993,0.04802117776870727
0,1,0.6790721240970824,23.0,5.0,202.95225081443786,40.4762934923172,0.09591501523554324
0,2,0.6745178390653045,20.0,2.0,210.22277889251708,39.59098317027092,0.03933275771141052
0,3,0.674196720123291,34.0,3.0,175.95020768642425,8.743933963775632,0.17543762755393982
0,4,0.699727048697295,24.0,3.0,125.8301013469696,14.669591712951657,0.0830484105348587
0,5,0.6752666281108503,26.0,1.0,156.47172597646713,45.55464379787445,0.022253463983535768
0,6,0.6778119086115448,35.0,4.0,242.63413486480712,62.74475507736206,0.005
0,7,0.6854353040677531,12.0,4.0,161.18481514453887,22.875170040130612,0.07060883474349976
1,0,0.6835360020619851,23.0,4.0,205.39525685310363,11.999913978576657,0.1571356518268585
1,1,0.6881845072022191,21.0,3.0,259.07076892852785,20.372614192962644,0.005
1,2,0.6898759667520169,22.0,4.0,245.29453573226928,18.816015052795407,0.01979871225357055
1,3,0.6712081820876511,17.0,2.0,134.85777673721313,5.0,0.049244104146957395
1,4,0.6846142680335928,14.0,1.0,169.95938242822885,28.61234002113342,0.08207723852992058
1,5,0.6783649039930767,22.0,7.0,123.70685038566589,28.693464326858518,0.0815153172314167
1,6,0.6749568504095077,25.0,1.0,206.935631608963,52.16557793617248,0.12770192754268647
1,7,0.6611992065994827,19.0,3.0,160.14558700323104,25.320251512527463,0.20206582975387574
2,0,0.6970531297613073,24.0,4.0,247.14214859008788,7.58320503234863,0.06710374188423157
2,1,0.6682911790079541,29.0,4.0,300.0,41.1993204832077,0.005
2,2,0.7017186005247963,36.0,7.0,282.23777351379397,5.0,0.06494123768806458
2,3,0.6629517942004733,28.0,5.0,232.4136954307556,45.02341233491897,0.005
2,4,0.6801575324049702,31.0,8.0,165.5555167555809,34.95902829170227,0.04561598134040832
2,5,0.7030932277661783,21.0,6.0,207.53166851997375,5.0,0.061025763869285585
2,6,0.6924703514575957,14.0,5.0,191.80436072349548,10.089206027984616,0.005
2,7,0.6846032564286834,15.0,6.0,300.0,40.15423544049263,0.053985197663307186
3,0,0.7097735654866254,23.0,4.0,223.2188325881958,5.0,0.0467213852405548
3,1,0.6795080601286005,40.0,3.0,300.0,18.42330389022827,0.011567507505416866
3,2,0.6582776182006906,28.0,5.0,230.05745706558227,53.88698511123657,0.04369317424297332
3,3,0.6910387679603365,20.0,7.0,153.96395263671874,10.821892547607419,0.05715150964260101
3,4,0.6997910747925441,24.0,4.0,293.6098104476929,5.0,0.005
3,5,0.6958367253232884,37.0,5.0,278.3605938911438,6.927167701721189,0.1578567667007446
3,6,0.6676801265831346,28.0,8.0,241.79760751724243,27.143123674392697,0.05944099557399749
3,7,0.6974074024624294,21.0,8.0,300.0,5.0,0.05557528269290924
4,0,0.6592911336598573,28.0,2.0,222.22640810012817,22.297870445251462,0.09346244736388326
4,1,0.6362025066768682,47.0,4.0,204.71366820335388,28.741443681716916,0.10412948933243751
4,2,0.6827979270175651,16.0,8.0,250.20721969604492,9.456221389770505,0.03069882822036743
4,3,0.6699720506535636,30.0,6.0,268.82082042694094,5.0,0.07558836323022843
4,4,0.5983567133214739,39.0,1.0,251.90746126174926,5.0,0.06421936583518982
4,5,0.6577507281524163,33.0,1.0,200.40145037174224,57.80180864334106,0.12862124872207642
4,6,0.6672020570657872,25.0,1.0,129.73038730621337,18.71923141479492,0.18520046305656435
4,7,0.6738137375866926,30.0,6.0,152.5695347547531,6.30552701950073,0.01678300333023071
5,0,0.6799310856395296,29.0,4.0,188.87756106853485,5.0,0.06080508959293365
5,1,0.6682578669433242,21.0,8.0,176.08487961292266,52.46126465797424,0.13348492813110352
5,2,0.675924839620237,25.0,6.0,253.55395851135253,14.002510833740232,0.02148756217956542
5,3,0.6895546095901066,27.0,10.0,175.2186915040016,5.0,0.005
5,4,0.6850319153511966,16.0,5.0,266.38169107437136,17.011596488952634,0.005
5,5,0.6894015696755161,14.0,7.0,169.85533959642052,6.162163543701169,0.005981121778488155
5,6,0.6707006129291323,16.0,8.0,190.20944592952728,39.759651499986646,0.06314440500736236
5,7,0.692845150563452,12.0,7.0,207.83457932472228,5.0,0.005
6,0,0.6686765019761193,1.0,7.0,198.32598206996917,5.0,0.005
