generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
0,0,0.6761514281343531,39.0,5.0,214.15020880699157,70.7827275276184,0.20959233474731445
0,1,0.7297002556588915,20.0,2.0,243.398593044281,32.23521642684936,0.04074641895294189
0,2,0.7486105362353501,27.0,2.0,200.7828622817993,36.269661116600034,0.13020958137512206
0,3,0.7147696438762875,35.0,1.0,254.33669862747192,39.585530686378476,0.15262870621681213
0,4,0.6802095880994091,21.0,6.0,158.16979316473007,55.07431321144104,0.12003597152233124
0,5,0.6700735323075895,41.0,1.0,205.07889566421508,47.35771946907043,0.005
0,6,0.7278085211471274,25.0,1.0,153.5396218061447,40.79639174342155,0.03710484933853149
0,7,0.7754371415244208,39.0,1.0,91.08429012298583,45.48898272514343,0.10118716043233872
1,0,0.7177316995903297,25.0,1.0,274.02761754989626,34.341093230247495,0.11097397637367248
1,1,0.7520160173707539,21.0,2.0,169.23269489258527,23.76982383728027,0.10141217467188834
1,2,0.7076021715667512,29.0,1.0,188.50754854679107,84.47042636871338,0.037764082670211786
1,3,0.7372465576065911,30.0,1.0,155.07327852249145,43.71104993224144,0.11812811923027039
1,4,0.7619353577163483,34.0,1.0,76.40071210861205,18.759481239318845,0.12497288715839386
1,5,0.7771121501481092,32.0,1.0,78.84604988098144,31.212441253662107,0.10743719172477723
1,6,0.712781811202014,36.0,4.0,135.10207948684692,41.11978173553943,0.13881955575942995
1,7,0.6946258060578946,26.0,2.0,111.39063653945922,5.619684982299802,0.08264275622367859
2,0,0.7544630211370963,19.0,2.0,166.5365539252758,44.39788423776626,0.1385250074863434
2,1,0.7849730170876891,22.0,3.0,151.23802361488342,16.74279384613037,0.11146845203638077
2,2,0.8097979029019674,8.0,3.0,70.10937271118163,21.414081382751462,0.12657968533039093
2,3,0.7430488463905123,26.0,2.0,133.9583676815033,9.001385498046872,0.15362281036376954
2,4,0.7401765081838324,27.0,2.0,186.67328593730926,55.547341632843015,0.13356156480312348
2,5,0.7282581190930472,31.0,2.0,190.9155893087387,38.36365692615509,0.1779510898590088
2,6,0.7496961351235707,27.0,2.0,195.8251887321472,33.230853009223935,0.11771488916873932
2,7,0.7796966818306181,25.0,3.0,135.0895625114441,19.58353929519653,0.13826233279705047
3,0,0.7323559602322401,21.0,3.0,185.33459541797637,50.14820747375488,0.14766089153289796
3,1,0.7566076431009504,7.0,2.0,143.96267471313476,34.400485682487485,0.17004103493690492
3,2,0.7394279834517726,29.0,2.0,230.67291316986083,40.17548494338989,0.12190469634532929
3,3,0.7742723063186362,20.0,4.0,81.91911754608154,27.848200130462644,0.11481279414892197
3,4,0.772929018360597,11.0,3.0,98.59070596694946,55.848125743865964,0.13948062789440155
3,5,0.6966000215874777,4.0,6.0,91.95570049285888,24.176183271408078,0.17388524842262268
3,6,0.7051228980664854,21.0,3.0,215.80386219024658,5.0,0.09108060999587178
3,7,0.6940700146224762,15.0,5.0,41.31612358093261,5.0,0.1291848464012146
4,0,0.351433492148364,6.0,4.0,15.94540176391601,34.01443891525268,0.17042087745666504
4,1,0.7912836141277243,7.0,3.0,87.65549001693725,23.853153514862058,0.08675845731794835
4,2,0.7672061194755413,16.0,2.0,92.0839744567871,41.98214242532849,0.08168129307031631
4,3,0.7044585027959611,21.0,5.0,47.12156829833984,77.92898111343384,0.10532794576883316
