generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
0,0,0.6033762020866076,16.0,1.0,77.43287620544433,58.24389986991882,0.11775307786464691
0,1,0.5680009365081786,37.0,2.0,144.74881229400634,56.79255537986755,0.05311581921577453
0,2,0.6018943844901191,36.0,4.0,290.3027325630188,88.95126037597656,0.06132345926761627
0,3,0.6032182736198107,29.0,3.0,164.43591175079345,48.865830826759336,0.2168520016670227
0,4,0.5647313228911823,23.0,1.0,173.03897959589958,48.830408978462216,0.06848544162511826
0,5,0.6054944037397703,21.0,5.0,100.01912174224853,44.58834611177444,0.10716244709491729
0,6,0.5451719986730151,42.0,4.0,213.01423606872558,78.87358360290527,0.005
0,7,0.5567571913864877,36.0,1.0,161.82645050287246,72.32975177764892,0.028735743284225457
1,0,0.6091189956996176,32.0,6.0,159.66696915626525,53.47226076126098,0.2179379267692566
1,1,0.5925124761131075,23.0,3.0,76.59107027053832,46.75557457208633,0.010738573789596556
1,2,0.6006471007731226,21.0,3.0,150.97291407585143,74.40854005813598,0.08372927513718605
1,3,0.6011729472544458,16.0,2.0,61.23398599624633,68.5225456237793,0.11629812550544738
1,4,0.5512454180585014,27.0,2.0,185.81450340747833,55.37053279876709,0.17029182147979738
1,5,0.6031008471382988,14.0,2.0,95.56787071228027,64.1872423171997,0.09281367902457714
1,6,0.603838911652565,26.0,6.0,163.90950185656547,33.58992092609405,0.14844670724868775
1,7,0.6004312403665648,15.0,6.0,53.11561880111694,23.92861657142639,0.11833864283561707
