generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
0,0,0.5501459978355301,33.0,4.0,126.36316356658935,28.82771186828613,0.07995384541153908
0,1,0.548961707353592,29.0,3.0,245.27495203018188,25.199149179458615,0.0520794643163681
0,2,0.5501739507582453,27.0,1.0,207.3085587978363,23.148452568054196,0.13828101885318755
0,3,0.3146725788712501,28.0,1.0,5.0,5.0,0.0848465060889721
0,4,0.5012320380740696,31.0,5.0,249.34972105026245,66.4154236793518,0.11773994994163513
0,5,0.5590270612637203,22.0,4.0,130.2251118183136,22.024810838699338,0.12326455545425416
0,6,0.5929754034015867,21.0,2.0,56.256478404998774,44.20635752677917,0.06689822506904602
0,7,0.5616400213705168,24.0,4.0,175.10841560959815,35.23934953212738,0.18632993531227113
1,0,0.5501285082432958,17.0,2.0,185.85650143623351,36.11563138961792,0.11701810193061829
1,1,0.5116670248574681,17.0,2.0,71.8474226951599,43.220294791460034,0.12108411920070648
1,2,0.5874729594919417,37.0,3.0,78.8706332206726,35.07533602714538,0.029299150228500367
1,3,0.3179197049803204,33.0,3.0,5.0,10.24210863113403,0.10427128729224205
1,4,0.5525843760702345,23.0,2.0,69.32249126434326,39.94394041895866,0.14338912796974182
1,5,0.5881554299924109,15.0,3.0,102.76348648071288,57.131729650497434,0.08290753197669982
1,6,0.32362376600503917,32.0,3.0,18.430700874328608,45.66849015951156,0.11225251239538192
1,7,0.5921161544985241,21.0,3.0,135.68679389953613,42.56771549880504,0.03597233128547668
