rule,seed,capacity,plasticity_label,ae_validation_mse,clean_pair_accuracy,degraded_pair_accuracy,collision_rate,recruitment_fraction,fraction_spatial,fraction_cue-general,fraction_cue-specific,fraction_mixed,fraction_neutral
base,53001,1,Instructive-driven,4.324848479342336e-09,1.0,1.0,0.0,0.04,0.62,0.0,0.0,0.16,0.22
base,53001,2,Instructive-driven,4.324848479342336e-09,1.0,0.875,0.0,0.06,0.68,0.0,0.0,0.26,0.06
base,53001,3,Instructive-driven,4.324848479342336e-09,1.0,0.9166666666666666,0.0,0.1,0.94,0.0,0.0,0.06,0.0
base,53001,4,Instructive-driven,4.324848479342336e-09,1.0,0.5625,0.0,0.1,0.86,0.0,0.0,0.14,0.0
base,53001,5,Instructive-driven,4.324848479342336e-09,1.0,0.3,0.0,0.12,0.9,0.0,0.0,0.1,0.0
base,53001,6,Instructive-driven,4.324848479342336e-09,1.0,0.25,0.0,0.14,0.88,0.0,0.0,0.12,0.0
base,53001,7,Instructive-driven,4.324848479342336e-09,0.8571428571428571,0.17857142857142858,0.0,0.16,0.9,0.0,0.0,0.1,0.0
base,53001,8,Instructive-driven,4.324848479342336e-09,0.75,0.15625,0.0,0.18,0.88,0.0,0.0,0.12,0.0
base,53001,9,Instructive-driven,4.324848479342336e-09,0.7777777777777778,0.08333333333333333,0.0,0.2,0.88,0.0,0.0,0.12,0.0
base,53001,10,Instructive-driven,4.324848479342336e-09,0.9,0.275,0.0,0.22,0.88,0.0,0.0,0.12,0.0
base,53001,11,Instructive-driven,4.324848479342336e-09,0.7272727272727273,0.2727272727272727,0.0,0.24,0.88,0.0,0.0,0.12,0.0
base,53001,12,Instructive-driven,4.324848479342336e-09,0.5,0.14583333333333334,0.0,0.26,0.88,0.0,0.0,0.12,0.0
base,53001,13,Instructive-driven,4.324848479342336e-09,0.6153846153846154,0.25,0.0,0.28,0.86,0.0,0.0,0.14,0.0
base,53001,14,Instructive-driven,4.324848479342336e-09,0.5714285714285714,0.23214285714285715,0.0,0.28,0.88,0.0,0.0,0.12,0.0
base,53001,15,Instructive-driven,4.324848479342336e-09,0.5333333333333333,0.18333333333333332,0.06666666666666665,0.28,0.88,0.0,0.0,0.12,0.0
base,53001,16,Instructive-driven,4.324848479342336e-09,0.625,0.21875,0.0625,0.3,0.86,0.0,0.0,0.14,0.0
base,53001,17,Instructive-driven,4.324848479342336e-09,0.5882352941176471,0.2647058823529412,0.11764705882352944,0.3,0.86,0.0,0.0,0.12,0.02
base,53001,18,Instructive-driven,4.324848479342336e-09,0.5,0.1388888888888889,0.16666666666666663,0.3,0.86,0.0,0.0,0.12,0.02
base,53001,19,Instructive-driven,4.324848479342336e-09,0.6842105263157895,0.10526315789473684,0.1578947368421053,0.32,0.86,0.0,0.0,0.14,0.0
base,53001,20,Instructive-driven,4.324848479342336e-09,0.8,0.1625,0.19999999999999996,0.32,0.86,0.0,0.0,0.12,0.02
base,53001,21,Instructive-driven,4.324848479342336e-09,0.7142857142857143,0.19047619047619047,0.23809523809523814,0.32,0.86,0.0,0.0,0.12,0.02
base,53001,22,Instructive-driven,4.324848479342336e-09,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.32,0.86,0.0,0.0,0.14,0.0
