rule,seed,capacity,target_a,target_b,clean_predicted_a,clean_predicted_b,clean_exact,mask_index,degraded_predicted_a,degraded_predicted_b,degraded_exact,memory_age
base,53001,1,2,4,2,4,1.0,0,2,4,1.0,0
base,53001,1,2,4,2,4,1.0,1,2,4,1.0,0
base,53001,1,2,4,2,4,1.0,2,2,4,1.0,0
base,53001,1,2,4,2,4,1.0,3,2,4,1.0,0
base,53001,2,2,4,2,4,1.0,0,2,4,1.0,1
base,53001,2,2,4,2,4,1.0,1,2,4,1.0,1
base,53001,2,2,4,2,4,1.0,2,2,4,1.0,1
base,53001,2,2,4,2,4,1.0,3,4,6,0.0,1
base,53001,2,4,6,4,6,1.0,0,4,6,1.0,0
base,53001,2,4,6,4,6,1.0,1,4,6,1.0,0
base,53001,2,4,6,4,6,1.0,2,4,6,1.0,0
base,53001,2,4,6,4,6,1.0,3,4,6,1.0,0
base,53001,3,2,4,2,4,1.0,0,2,4,1.0,2
base,53001,3,2,4,2,4,1.0,1,2,4,1.0,2
base,53001,3,2,4,2,4,1.0,2,2,4,1.0,2
base,53001,3,2,4,2,4,1.0,3,8,6,0.0,2
base,53001,3,4,6,4,6,1.0,0,4,6,1.0,0
base,53001,3,4,6,4,6,1.0,1,4,6,1.0,0
base,53001,3,4,6,4,6,1.0,2,4,6,1.0,0
base,53001,3,4,6,4,6,1.0,3,4,6,1.0,0
base,53001,3,8,0,8,0,1.0,0,8,0,1.0,1
base,53001,3,8,0,8,0,1.0,1,8,0,1.0,1
base,53001,3,8,0,8,0,1.0,2,8,0,1.0,1
base,53001,3,8,0,8,0,1.0,3,8,0,1.0,1
base,53001,4,2,4,2,4,1.0,0,2,4,1.0,3
base,53001,4,2,4,2,4,1.0,1,8,4,0.0,3
base,53001,4,2,4,2,4,1.0,2,8,4,0.0,3
base,53001,4,2,4,2,4,1.0,3,8,6,0.0,3
base,53001,4,4,6,4,6,1.0,0,4,6,1.0,0
base,53001,4,4,6,4,6,1.0,1,4,6,1.0,0
base,53001,4,4,6,4,6,1.0,2,4,6,1.0,0
base,53001,4,4,6,4,6,1.0,3,4,6,1.0,0
base,53001,4,8,0,8,0,1.0,0,8,0,1.0,1
base,53001,4,8,0,8,0,1.0,1,8,0,1.0,1
base,53001,4,8,0,8,0,1.0,2,8,0,1.0,1
base,53001,4,8,0,8,0,1.0,3,8,0,1.0,1
base,53001,4,3,5,3,5,1.0,0,3,6,0.0,2
base,53001,4,3,5,3,5,1.0,1,3,6,0.0,2
base,53001,4,3,5,3,5,1.0,2,3,6,0.0,2
base,53001,4,3,5,3,5,1.0,3,3,6,0.0,2
base,53001,5,2,4,2,4,1.0,0,2,4,1.0,2
base,53001,5,2,4,2,4,1.0,1,3,4,0.0,2
base,53001,5,2,4,2,4,1.0,2,3,4,0.0,2
base,53001,5,2,4,2,4,1.0,3,3,1,0.0,2
base,53001,5,4,6,4,6,1.0,0,3,6,0.0,3
base,53001,5,4,6,4,6,1.0,1,3,6,0.0,3
base,53001,5,4,6,4,6,1.0,2,3,6,0.0,3
base,53001,5,4,6,4,6,1.0,3,3,6,0.0,3
base,53001,5,8,0,8,0,1.0,0,8,0,1.0,1
base,53001,5,8,0,8,0,1.0,1,8,0,1.0,1
base,53001,5,8,0,8,0,1.0,2,8,0,1.0,1
base,53001,5,8,0,8,0,1.0,3,8,0,1.0,1
base,53001,5,3,5,3,5,1.0,0,3,0,0.0,0
base,53001,5,3,5,3,5,1.0,1,3,0,0.0,0
base,53001,5,3,5,3,5,1.0,2,3,0,0.0,0
base,53001,5,3,5,3,5,1.0,3,3,5,1.0,0
base,53001,5,9,1,9,1,1.0,0,3,1,0.0,4
base,53001,5,9,1,9,1,1.0,1,3,1,0.0,4
base,53001,5,9,1,9,1,1.0,2,3,1,0.0,4
base,53001,5,9,1,9,1,1.0,3,3,1,0.0,4
base,53001,6,2,4,2,4,1.0,0,2,1,0.0,3
base,53001,6,2,4,2,4,1.0,1,3,4,0.0,3
base,53001,6,2,4,2,4,1.0,2,3,1,0.0,3
base,53001,6,2,4,2,4,1.0,3,3,1,0.0,3
