rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
base,53001,1,0,neutral,5.9240127e-05,5.9240127e-05,1.10360625e-05,1.4556626e-06,0.0
base,53001,1,1,spatial,0.007686739,0.007686739,0.0022064818,0.0011925007,0.0
base,53001,1,2,spatial,0.03134616,0.03134616,0.0013372315,1.7892522e-07,0.0
base,53001,1,3,spatial,0.051478315,0.051478315,0.0030565576,0.003253719,0.0
base,53001,1,4,neutral,0.0008189624,0.0008189624,0.0024944388,0.0019014213,0.0
base,53001,1,5,neutral,0.00082284247,0.00082284247,0.0042012585,0.002756305,0.0
base,53001,1,6,spatial,0.15794049,0.15794049,0.0052120793,0.001293696,0.0
base,53001,1,7,spatial,0.11382256,0.11382256,7.37457e-05,0.004190111,0.0
base,53001,1,8,spatial,0.12642075,0.12642075,0.0070878426,0.00012184488,0.0
base,53001,1,9,spatial,0.03203542,0.03203542,0.0042138663,0.00040997227,0.0
base,53001,1,10,mixed,0.0028077113,0.0028077113,0.00339983,0.0021053413,0.0
base,53001,1,11,neutral,0.0007656356,0.0007656356,0.002555676,0.00048598496,0.0
base,53001,1,12,spatial,0.13997485,0.13997485,0.0053071002,0.00039551203,0.0
base,53001,1,13,neutral,0.00091205834,0.00091205834,0.0014432217,0.0003958845,0.0
base,53001,1,14,spatial,0.01875385,0.01875385,0.0058270944,0.001547497,0.0
base,53001,1,15,neutral,0.0004255826,0.0004255826,6.1719285e-05,2.0025765e-05,0.0
base,53001,1,16,neutral,0.00052417885,0.00052417885,0.000100068646,4.0518422e-05,0.0
base,53001,1,17,mixed,0.0032507235,0.0032507235,0.021779029,0.017151808,0.0
base,53001,1,18,mixed,0.0031602131,0.0031602131,0.0029213282,0.0001824582,0.0
base,53001,1,19,mixed,0.008380066,0.008380066,0.015829206,0.005619148,0.0
base,53001,1,20,spatial,0.0049146954,0.0049146954,0.0010994065,0.0008354867,0.0
base,53001,1,21,spatial,0.06859812,0.06859812,0.0012675286,0.003841467,0.0
base,53001,1,22,mixed,0.005315916,0.005315916,0.017999612,0.012466069,0.0
base,53001,1,23,cue-general,0.0020504468,0.0020504468,0.0049670045,0.0015270896,0.0
base,53001,1,24,spatial,0.015671909,0.015671909,0.00647431,0.0020136193,0.0
base,53001,1,25,spatial,0.015929941,0.015929941,0.00021539995,0.00012550516,0.0
base,53001,1,26,spatial,0.11852626,0.11852626,0.006057928,0.0034971188,0.0
base,53001,1,27,spatial,0.13214283,0.13214283,0.0021260707,0.0067773364,0.0
base,53001,1,28,mixed,0.0053292788,0.0053292788,0.017878538,0.012128582,0.0
base,53001,1,29,neutral,0.00015594206,0.00015594206,2.769084e-05,7.1662616e-06,0.0
base,53001,1,30,spatial,0.033986237,0.033986237,0.0004958488,0.00096739765,0.0
base,53001,1,31,spatial,0.026073832,0.026073832,0.0017637083,1.3520927e-05,0.0
base,53001,1,32,spatial,0.10378131,0.10378131,0.007180376,0.010996114,0.0
base,53001,1,33,spatial,0.08517447,0.08517447,0.001284037,0.0036154322,0.0
base,53001,1,34,neutral,0.0005105143,0.0005105143,0.00033357448,0.0002182542,0.0
base,53001,1,35,neutral,0.000501783,0.000501783,0.00010164317,2.1933233e-06,0.0
