rule,seed,capacity,target_a,target_b,clean_predicted_a,clean_predicted_b,clean_exact,mask_index,degraded_predicted_a,degraded_predicted_b,degraded_exact,memory_age
base,53001,1,1,4,1,0,0.0,0,0,0,0.0,0
base,53001,1,1,4,1,0,0.0,1,0,0,0.0,0
base,53001,1,1,4,1,0,0.0,2,0,0,0.0,0
base,53001,1,1,4,1,0,0.0,3,0,0,0.0,0
base,53001,2,1,4,1,0,0.0,0,1,0,0.0,1
base,53001,2,1,4,1,0,0.0,1,1,0,0.0,1
base,53001,2,1,4,1,0,0.0,2,1,0,0.0,1
base,53001,2,1,4,1,0,0.0,3,0,0,0.0,1
base,53001,2,3,1,0,1,0.0,0,0,1,0.0,0
base,53001,2,3,1,0,1,0.0,1,0,0,0.0,0
base,53001,2,3,1,0,1,0.0,2,0,0,0.0,0
base,53001,2,3,1,0,1,0.0,3,0,0,0.0,0
base,53001,4,1,4,1,0,0.0,0,1,0,0.0,3
base,53001,4,1,4,1,0,0.0,1,1,0,0.0,3
base,53001,4,1,4,1,0,0.0,2,1,0,0.0,3
base,53001,4,1,4,1,0,0.0,3,0,0,0.0,3
base,53001,4,3,1,0,1,0.0,0,0,1,0.0,0
base,53001,4,3,1,0,1,0.0,1,0,0,0.0,0
base,53001,4,3,1,0,1,0.0,2,0,0,0.0,0
base,53001,4,3,1,0,1,0.0,3,0,0,0.0,0
base,53001,4,4,2,0,2,0.0,0,0,0,0.0,1
base,53001,4,4,2,0,2,0.0,1,0,0,0.0,1
base,53001,4,4,2,0,2,0.0,2,0,0,0.0,1
base,53001,4,4,2,0,2,0.0,3,0,0,0.0,1
base,53001,4,2,0,2,0,1.0,0,2,0,1.0,2
base,53001,4,2,0,2,0,1.0,1,2,0,1.0,2
base,53001,4,2,0,2,0,1.0,2,0,0,0.0,2
base,53001,4,2,0,2,0,1.0,3,0,0,0.0,2
err2,53001,1,1,4,1,4,1.0,0,1,4,1.0,0
err2,53001,1,1,4,1,4,1.0,1,1,0,0.0,0
err2,53001,1,1,4,1,4,1.0,2,1,4,1.0,0
err2,53001,1,1,4,1,4,1.0,3,1,4,1.0,0
err2,53001,2,1,4,1,4,1.0,0,1,4,1.0,1
err2,53001,2,1,4,1,4,1.0,1,1,4,1.0,1
err2,53001,2,1,4,1,4,1.0,2,1,4,1.0,1
err2,53001,2,1,4,1,4,1.0,3,2,4,0.0,1
err2,53001,2,3,1,3,1,1.0,0,2,1,0.0,0
err2,53001,2,3,1,3,1,1.0,1,3,1,1.0,0
err2,53001,2,3,1,3,1,1.0,2,3,1,1.0,0
err2,53001,2,3,1,3,1,1.0,3,3,1,1.0,0
err2,53001,4,1,4,1,4,1.0,0,1,0,0.0,3
err2,53001,4,1,4,1,4,1.0,1,1,0,0.0,3
err2,53001,4,1,4,1,4,1.0,2,1,4,1.0,3
err2,53001,4,1,4,1,4,1.0,3,2,4,0.0,3
err2,53001,4,3,1,3,1,1.0,0,2,1,0.0,0
err2,53001,4,3,1,3,1,1.0,1,1,1,0.0,0
err2,53001,4,3,1,3,1,1.0,2,2,1,0.0,0
err2,53001,4,3,1,3,1,1.0,3,2,1,0.0,0
err2,53001,4,4,2,4,0,0.0,0,4,0,0.0,1
err2,53001,4,4,2,4,0,0.0,1,4,0,0.0,1
err2,53001,4,4,2,4,0,0.0,2,4,0,0.0,1
err2,53001,4,4,2,4,0,0.0,3,4,0,0.0,1
err2,53001,4,2,0,2,0,1.0,0,2,0,1.0,2
err2,53001,4,2,0,2,0,1.0,1,2,0,1.0,2
err2,53001,4,2,0,2,0,1.0,2,2,0,1.0,2
err2,53001,4,2,0,2,0,1.0,3,2,0,1.0,2
