rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
base,53001,1,0,neutral,0.00018516602,0.00018516602,0.00014564894,0.00013449127,0.0
base,53001,1,1,spatial,0.0017395995,0.0017395995,0.00080959906,0.00068184145,0.0
base,53001,1,2,mixed,0.003026213,0.003026213,0.0037761598,0.0009783468,0.0
base,53001,1,3,mixed,0.0011915553,0.0011915553,0.0023247425,0.00049159577,0.0
base,53001,1,4,neutral,0.0003561252,0.0003561252,0.00010887119,0.00017039676,0.0
base,53001,1,5,mixed,0.001013814,0.001013814,0.0017311716,0.0001640997,0.0
base,53001,1,6,neutral,0.0007592482,0.0007592482,0.0015236189,1.7579459e-06,0.0
base,53001,1,7,cue-general,0.0014723088,0.0014723088,0.005528966,2.8756258e-06,0.0
base,53001,1,8,mixed,0.0031938874,0.0031938874,0.002645531,0.0003556045,0.0
base,53001,1,9,cue-general,0.002530285,0.002530285,0.005650273,3.8056803e-06,0.0
base,53001,1,10,spatial,0.0016102743,0.0016102743,0.0006337644,0.0006470575,0.0
base,53001,1,11,spatial,0.0011713911,0.0011713911,0.00038957878,0.00040335604,0.0
base,53001,1,12,cue-general,0.001720859,0.001720859,0.003991552,0.00015090607,0.0
base,53001,1,13,cue-general,0.0012312828,0.0012312828,0.0045084236,8.069056e-05,0.0
base,53001,1,14,cue-general,0.0018731806,0.0018731806,0.005282347,0.00020234995,0.0
base,53001,1,15,cue-general,0.0017117194,0.0017117194,0.0050582318,3.2556876e-05,0.0
base,53001,1,16,cue-general,0.0012242114,0.0012242114,0.00429257,1.3363394e-05,0.0
base,53001,1,17,mixed,0.007464228,0.007464228,0.0004370665,0.0047026956,0.0
base,53001,1,18,neutral,0.0005493222,0.0005493222,0.0012058057,1.0539673e-05,0.0
base,53001,1,19,mixed,0.0026454201,0.0026454201,0.0019532675,0.0013139811,0.0
base,53001,1,20,neutral,0.00071718777,0.00071718777,0.00061146513,0.0002392397,0.0
base,53001,1,21,neutral,0.000736075,0.000736075,0.0030812938,1.47194005e-05,0.0
base,53001,1,22,cue-general,0.0017440368,0.0017440368,0.005442433,1.4300625e-07,0.0
base,53001,1,23,cue-general,0.0023846517,0.0023846517,0.0053435075,0.00011584868,0.0
base,53001,1,24,mixed,0.0027221283,0.0027221283,0.0025564656,0.0014536151,0.0
base,53001,1,25,spatial,0.0011588841,0.0011588841,0.00043411014,0.00053981505,0.0
base,53001,1,26,mixed,0.0024998868,0.0024998868,0.0011034402,0.0014088581,0.0
base,53001,1,27,mixed,0.0019287099,0.0019287099,0.00295179,0.0004316411,0.0
base,53001,1,28,cue-general,0.0014022571,0.0014022571,0.0033288335,1.615465e-06,0.0
base,53001,1,29,neutral,0.0006751527,0.0006751527,0.0026495196,1.8553987e-05,0.0
base,53001,1,30,cue-general,0.001559068,0.001559068,0.0053577977,1.8114382e-05,0.0
base,53001,1,31,cue-general,0.0012424499,0.0012424499,0.004459063,1.1168185e-05,0.0
base,53001,1,32,cue-general,0.0019477849,0.0019477849,0.0050418796,0.0002539913,0.0
base,53001,1,33,cue-general,0.0019600866,0.0019600866,0.007330116,5.5973294e-05,0.0
base,53001,1,34,neutral,0.00073380885,0.00073380885,0.0009730267,7.624142e-05,0.0
base,53001,1,35,mixed,0.0021486098,0.0021486098,0.0020010776,0.00056839583,0.0
base,53001,1,36,neutral,0.0009814602,0.0009814602,0.0016416782,0.00015648225,0.0
base,53001,1,37,mixed,0.0016028207,0.0016028207,0.0026145615,0.00044687415,0.0
base,53001,1,38,neutral,0.00021506698,0.00021506698,1.5907217e-05,4.8554153e-05,0.0
base,53001,1,39,mixed,0.0015380222,0.0015380222,0.0024306355,0.00022232624,0.0
base,53001,1,40,mixed,0.0021026363,0.0021026363,0.0035854168,0.0002521731,0.0
base,53001,1,41,cue-general,0.0016949321,0.0016949321,0.0046425965,0.00011293823,0.0
base,53001,1,42,cue-general,0.0011513686,0.0011513686,0.0026386897,0.00010941387,0.0
base,53001,1,43,spatial,0.004999822,0.004999822,5.3732383e-06,0.0024826864,0.0
base,53001,1,44,cue-general,0.0014551549,0.0014551549,0.0053989966,1.3468077e-05,0.0
base,53001,1,45,cue-general,0.0012321813,0.0012321813,0.004037191,0.00021454485,0.0
base,53001,1,46,neutral,0.0002385154,0.0002385154,0.0003764664,1.4193086e-05,0.0
base,53001,1,47,mixed,0.0023837406,0.0023837406,0.0027505243,0.0004873042,0.0
base,53001,1,48,cue-general,0.0015993663,0.0015993663,0.00327363,3.4017805e-05,0.0
base,53001,1,49,mixed,0.0014377247,0.0014377247,0.0023956723,0.00019272596,0.0
base,53001,2,0,neutral,0.000564415,0.00048558298,0.0002430206,0.00015466915,6.664044e-05
base,53001,2,1,mixed,0.004706408,0.0025795253,0.002201509,0.0028243817,0.0020837632
base,53001,2,2,mixed,0.003835806,0.0035338218,0.004347353,0.00035812313,0.00026323867
base,53001,2,3,cue-general,0.0011980748,0.0009830763,0.002436375,0.0002574492,0.00018157272
base,53001,2,4,neutral,0.0005923248,0.0003832266,0.00027122675,0.0003304802,0.00020699605
base,53001,2,5,mixed,0.0028756727,0.0023715466,0.0025197263,0.00062575226,0.00043326252
base,53001,2,6,mixed,0.0039173434,0.003364945,0.003618989,0.0006856197,0.00049627054
base,53001,2,7,cue-general,0.0029722094,0.0022509836,0.006060353,0.0008824984,0.000721225
base,53001,2,8,mixed,0.009173017,0.007786855,0.005061406,0.0018698797,0.0011999214
base,53001,2,9,mixed,0.005808684,0.0051601995,0.006922855,0.00074393203,0.0006271715
base,53001,2,10,mixed,0.0014931133,0.0010304339,0.0008373036,0.0006733532,0.00039652508
base,53001,2,11,spatial,0.002096128,0.0018652799,0.00030407502,0.00042969885,0.00012903912
base,53001,2,12,mixed,0.004339194,0.003240117,0.0057109706,0.0014952457,0.0010577401
base,53001,2,13,cue-general,0.0014961683,0.0011275706,0.0033496497,0.0004813683,0.00033657975
base,53001,2,14,cue-general,0.0029946456,0.0025424624,0.005658893,0.00046044835,0.00044422952
base,53001,2,15,mixed,0.003963258,0.002312749,0.003831557,0.0024888467,0.0016050832
base,53001,2,16,cue-general,0.0018012935,0.0015451204,0.0042365394,0.00012403438,0.00024919794
base,53001,2,17,mixed,0.0030491292,0.00088658533,0.0006161172,0.0029096913,0.0021248716
base,53001,2,18,mixed,0.0041732537,0.0025028766,0.00018796674,0.002920322,0.0014085936
base,53001,2,19,spatial,0.0039820676,0.0034611279,0.0013360997,0.001193827,0.00030205623
base,53001,2,20,spatial,0.001678536,0.001493202,0.00011660929,0.0002337017,0.00012272423
base,53001,2,21,cue-general,0.0015507399,0.0009284748,0.0035113303,0.00071956246,0.0006220184
