plasticity_rule,varied_parameter,multiplier,actual_value,seed,clean_score,clean_fidelity,clean_position_accuracy,clean_cue_accuracy,mec_degraded_score,lec_degraded_score,ae_validation_mse,composite_score
base,ca3_inputs_per_unit,0.1,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,ca3_inputs_per_unit,0.1,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,ca3_inputs_per_unit,0.1,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,ca3_inputs_per_unit,0.3,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,ca3_inputs_per_unit,0.3,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,ca3_inputs_per_unit,0.3,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,ca3_inputs_per_unit,0.5,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,ca3_inputs_per_unit,0.5,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,ca3_inputs_per_unit,0.5,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,ca3_inputs_per_unit,0.7,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,ca3_inputs_per_unit,0.7,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,ca3_inputs_per_unit,0.7,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,ca3_inputs_per_unit,1.0,1.0,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,ca3_inputs_per_unit,1.0,1.0,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,ca3_inputs_per_unit,1.0,1.0,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,ca3_inputs_per_unit,1.5,2.0,42001,0.6777240014076232,0.8531720042228699,0.18,1.0,0.5433333333333334,0.8387429813543955,0.00011946443555643782,0.6866001053651174
base,ca3_inputs_per_unit,1.5,2.0,42002,0.6833560705184937,0.850068211555481,0.2,1.0,0.545,0.8468500226736069,8.677082951180637e-05,0.6917353643973668
base,ca3_inputs_per_unit,1.5,2.0,42003,0.6761238813400269,0.8283716440200806,0.2,1.0,0.545,0.8464828580617905,0.0001881804346339777,0.6892022464672725
base,ca3_inputs_per_unit,2.0,2.0,42001,0.6777240014076232,0.8531720042228699,0.18,1.0,0.5433333333333334,0.8387429813543955,0.00011946443555643782,0.6866001053651174
base,ca3_inputs_per_unit,2.0,2.0,42002,0.6833560705184937,0.850068211555481,0.2,1.0,0.545,0.8468500226736069,8.677082951180637e-05,0.6917353643973668
base,ca3_inputs_per_unit,2.0,2.0,42003,0.6761238813400269,0.8283716440200806,0.2,1.0,0.545,0.8464828580617905,0.0001881804346339777,0.6892022464672725
base,ca3_inputs_per_unit,3.0,3.0,42001,0.6117838215827942,0.7753514647483826,0.06,1.0,0.5283333333333334,0.6956669241189957,0.00011946443555643782,0.6119280263450411
base,ca3_inputs_per_unit,3.0,3.0,42002,0.6326704732577006,0.7380114197731018,0.16,1.0,0.5516666666666666,0.8293914794921875,8.677082951180637e-05,0.6712428731388516
base,ca3_inputs_per_unit,3.0,3.0,42003,0.6648562788963318,0.7945688366889954,0.2,1.0,0.5299999999999999,0.8344856897989908,0.0001881804346339777,0.6764473228984409
base,ca3_inputs_per_unit,9.0,9.0,42001,0.6155749281247457,0.7467247843742371,0.1,1.0,0.53,0.55710336069266,0.00011946443555643782,0.5675594296058019
