plasticity_rule,plasticity_label,varied_parameter,multiplier,evolved_value,actual_value,fitness,clean_score,mec_degraded_score,lec_degraded_score
base,Instructive-driven,ca3_inputs_per_unit,0.1,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,ca3_inputs_per_unit,0.3,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,ca3_inputs_per_unit,0.5,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,ca3_inputs_per_unit,0.7,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,ca3_inputs_per_unit,1.0,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,ca3_inputs_per_unit,1.5,1.0,2.0,0.6891792387432524,0.6790679844220479,0.5444444444444444,0.8440252873632642
base,Instructive-driven,ca3_inputs_per_unit,2.0,1.0,2.0,0.6891792387432524,0.6790679844220479,0.5444444444444444,0.8440252873632642
base,Instructive-driven,ca3_inputs_per_unit,3.0,1.0,3.0,0.6532060741274445,0.6364368579122756,0.5366666666666666,0.7865146978033913
base,Instructive-driven,ca3_inputs_per_unit,9.0,1.0,9.0,0.6254791473680074,0.6147444144884745,0.5333333333333333,0.7283596942822138
base,Instructive-driven,k_ca3,0.1,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,k_ca3,0.3,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,k_ca3,0.5,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,k_ca3,0.7,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,k_ca3,1.0,1.0,1.0,0.7228379584904069,0.7005772980054218,0.5316666666666667,0.9362699107991325
base,Instructive-driven,k_ca3,1.5,1.0,2.0,0.7219136722441073,0.7005799404780069,0.528888888888889,0.936272187365426
base,Instructive-driven,k_ca3,2.0,1.0,2.0,0.7219136722441073,0.7005799404780069,0.528888888888889,0.936272187365426
base,Instructive-driven,k_ca3,3.0,1.0,3.0,0.7204675677749846,0.7006350416607326,0.5244444444444444,0.9363232172197766
base,Instructive-driven,k_ca3,9.0,1.0,9.0,0.617271689982326,0.5975212711758083,0.5227777777777779,0.7315160209933916
base,Instructive-driven,beta_ca3,0.1,260.9558969497681,26.09558969497681,0.4766033521294593,0.4595224728849199,0.4372222222222222,0.533065361281236
base,Instructive-driven,beta_ca3,0.3,260.9558969497681,78.28676908493043,0.6424145751970786,0.5735837782753839,0.523888888888889,0.829771058426963
base,Instructive-driven,beta_ca3,0.5,260.9558969497681,130.47794847488404,0.70334889890971,0.6679524313078987,0.525,0.9170942654212316
