plasticity_rule,varied_parameter,multiplier,actual_value,seed,clean_score,clean_fidelity,clean_position_accuracy,clean_cue_accuracy,mec_degraded_score,lec_degraded_score,ae_validation_mse,composite_score
base,ca3_inputs_per_unit,0.75,19.0,42001,0.5156205423672994,0.5068616271018982,0.04,1.0,0.53,0.7300751879811287,0.265914648771286,0.5918985767828093
base,ca3_inputs_per_unit,1.0,25.0,42001,0.5176360301176707,0.4929080903530121,0.06,1.0,0.53,0.7259481996297836,0.265914648771286,0.5911947432491513
base,ca3_inputs_per_unit,1.25,31.0,42001,0.5147937067349752,0.5043811202049255,0.04,1.0,0.535,0.7328870072960854,0.265914648771286,0.5942269046770201
base,k_ca3,0.75,2.0,42001,0.5089604349931082,0.46688130497932434,0.06,1.0,0.53,0.5829545333981514,0.265914648771286,0.5406383227970865
base,k_ca3,1.0,3.0,42001,0.5176360301176707,0.4929080903530121,0.06,1.0,0.53,0.7259481996297836,0.265914648771286,0.5911947432491513
base,k_ca3,1.25,4.0,42001,0.5221201372146607,0.5063604116439819,0.06,1.0,0.535,0.738571859896183,0.265914648771286,0.5985639990369478
base,beta_ca3,0.75,61.33725864887237,42001,0.5118691551685334,0.4956074655056,0.04,1.0,0.54,0.7267633154988289,0.265914648771286,0.5928774902224541
base,beta_ca3,1.0,81.78301153182983,42001,0.5176360301176707,0.4929080903530121,0.06,1.0,0.53,0.7259481996297836,0.265914648771286,0.5911947432491513
base,beta_ca3,1.25,102.22876441478729,42001,0.5165952336788178,0.48978570103645325,0.06,1.0,0.535,0.7234777808189392,0.265914648771286,0.5916910048325856
base,beta_ca1,0.75,5.0,42001,0.5173875979582468,0.4921627938747406,0.06,1.0,0.53,0.7254138216376305,0.265914648771286,0.5909338065319591
base,beta_ca1,1.0,5.0576441764831515,42001,0.5176360301176707,0.4929080903530121,0.06,1.0,0.53,0.7259481996297836,0.265914648771286,0.5911947432491513
base,beta_ca1,1.25,6.322055220603939,42001,0.5143414266904195,0.5030242800712585,0.04,1.0,0.55,0.7350035160779953,0.265914648771286,0.5997816475894715
base,alpha,0.75,0.02976610833406448,42001,0.5095417030652364,0.48862510919570923,0.04,1.0,0.53,0.7187492027878761,0.265914648771286,0.5860969686177042
base,alpha,1.0,0.03968814444541931,42001,0.5176360301176707,0.4929080903530121,0.06,1.0,0.53,0.7259481996297836,0.265914648771286,0.5911947432491513
base,alpha,1.25,0.04961018055677413,42001,0.5187908303737641,0.4963724911212921,0.06,1.0,0.535,0.7313809990882874,0.265914648771286,0.5950572764873505
err2,ca3_inputs_per_unit,0.75,8.0,42001,0.525626936753591,0.5168808102607727,0.06,1.0,0.515,0.7263456881046295,0.265914648771286,0.5889908749527402
err2,ca3_inputs_per_unit,1.0,10.0,42001,0.5177893765767415,0.5133681297302246,0.04,1.0,0.52,0.7307775840163231,0.265914648771286,0.5895223201976882
err2,ca3_inputs_per_unit,1.25,12.0,42001,0.526926695505778,0.520780086517334,0.06,1.0,0.515,0.7308861613273621,0.265914648771286,0.59093761894438
err2,k_ca3,0.75,4.0,42001,0.5205436873435975,0.5216310620307922,0.04,1.0,0.52,0.7459844723343849,0.265914648771286,0.5955093865593274
err2,k_ca3,1.0,5.0,42001,0.5177893765767415,0.5133681297302246,0.04,1.0,0.52,0.7307775840163231,0.265914648771286,0.5895223201976882
err2,k_ca3,1.25,6.0,42001,0.5057717724641164,0.49731531739234924,0.02,1.0,0.525,0.7139216959476471,0.265914648771286,0.5815644894705878
err2,beta_ca3,0.75,40.17065448760986,42001,0.5051422282059987,0.4954266846179962,0.02,1.0,0.51,0.7062819674611092,0.265914648771286,0.5738080652223693
err2,beta_ca3,1.0,53.56087265014648,42001,0.5177893765767415,0.5133681297302246,0.04,1.0,0.52,0.7307775840163231,0.265914648771286,0.5895223201976882
err2,beta_ca3,1.25,66.9510908126831,42001,0.5197937615712483,0.5193812847137451,0.04,1.0,0.52,0.7436471208930016,0.265914648771286,0.59448029415475
err2,beta_ca1,0.75,24.570043033361433,42001,0.5189353752136231,0.5168061256408691,0.04,1.0,0.52,0.7344684600830078,0.265914648771286,0.5911346117655436
err2,beta_ca1,1.0,32.760057377815244,42001,0.5177893765767415,0.5133681297302246,0.04,1.0,0.52,0.7307775840163231,0.265914648771286,0.5895223201976882
err2,beta_ca1,1.25,40.95007172226906,42001,0.5120742249488831,0.49622267484664917,0.04,1.0,0.515,0.46929750591516495,0.265914648771286,0.49879057695468265
err2,alpha,0.75,0.04466764354705811,42001,0.5194493261973063,0.518347978591919,0.04,1.0,0.52,0.73614601790905,0.265914648771286,0.5918651147021188
err2,alpha,1.0,0.05955685806274414,42001,0.5177893765767415,0.5133681297302246,0.04,1.0,0.52,0.7307775840163231,0.265914648771286,0.5895223201976882
err2,alpha,1.25,0.07444607257843018,42001,0.5201128315925598,0.5003384947776794,0.06,1.0,0.515,0.7228706851601601,0.265914648771286,0.5859945055842399
