plasticity_rule,plasticity_label,varied_parameter,multiplier,evolved_value,actual_value,fitness,clean_score,mec_degraded_score,lec_degraded_score
base,Instructive-driven,ca3_inputs_per_unit,0.75,25.0,19.0,0.5918985767828093,0.5156205423672994,0.53,0.7300751879811287
base,Instructive-driven,ca3_inputs_per_unit,1.0,25.0,25.0,0.5911947432491513,0.5176360301176707,0.53,0.7259481996297836
base,Instructive-driven,ca3_inputs_per_unit,1.25,25.0,31.0,0.5942269046770201,0.5147937067349752,0.535,0.7328870072960854
base,Instructive-driven,k_ca3,0.75,3.0,2.0,0.5406383227970865,0.5089604349931082,0.53,0.5829545333981514
base,Instructive-driven,k_ca3,1.0,3.0,3.0,0.5911947432491513,0.5176360301176707,0.53,0.7259481996297836
base,Instructive-driven,k_ca3,1.25,3.0,4.0,0.5985639990369478,0.5221201372146607,0.535,0.738571859896183
base,Instructive-driven,beta_ca3,0.75,81.78301153182983,61.33725864887237,0.5928774902224541,0.5118691551685334,0.54,0.7267633154988289
base,Instructive-driven,beta_ca3,1.0,81.78301153182983,81.78301153182983,0.5911947432491513,0.5176360301176707,0.53,0.7259481996297836
base,Instructive-driven,beta_ca3,1.25,81.78301153182983,102.22876441478729,0.5916910048325856,0.5165952336788178,0.535,0.7234777808189392
base,Instructive-driven,beta_ca1,0.75,5.0576441764831515,5.0,0.5909338065319591,0.5173875979582468,0.53,0.7254138216376305
base,Instructive-driven,beta_ca1,1.0,5.0576441764831515,5.0576441764831515,0.5911947432491513,0.5176360301176707,0.53,0.7259481996297836
base,Instructive-driven,beta_ca1,1.25,5.0576441764831515,6.322055220603939,0.5997816475894715,0.5143414266904195,0.55,0.7350035160779953
base,Instructive-driven,alpha,0.75,0.03968814444541931,0.02976610833406448,0.5860969686177042,0.5095417030652364,0.53,0.7187492027878761
base,Instructive-driven,alpha,1.0,0.03968814444541931,0.03968814444541931,0.5911947432491513,0.5176360301176707,0.53,0.7259481996297836
base,Instructive-driven,alpha,1.25,0.03968814444541931,0.04961018055677413,0.5950572764873505,0.5187908303737641,0.535,0.7313809990882874
err2,Error-driven,ca3_inputs_per_unit,0.75,10.0,8.0,0.5889908749527402,0.525626936753591,0.515,0.7263456881046295
err2,Error-driven,ca3_inputs_per_unit,1.0,10.0,10.0,0.5895223201976882,0.5177893765767415,0.52,0.7307775840163231
err2,Error-driven,ca3_inputs_per_unit,1.25,10.0,12.0,0.59093761894438,0.526926695505778,0.515,0.7308861613273621
err2,Error-driven,k_ca3,0.75,5.0,4.0,0.5955093865593274,0.5205436873435975,0.52,0.7459844723343849
err2,Error-driven,k_ca3,1.0,5.0,5.0,0.5895223201976882,0.5177893765767415,0.52,0.7307775840163231
err2,Error-driven,k_ca3,1.25,5.0,6.0,0.5815644894705878,0.5057717724641164,0.525,0.7139216959476471
err2,Error-driven,beta_ca3,0.75,53.56087265014648,40.17065448760986,0.5738080652223693,0.5051422282059987,0.51,0.7062819674611092
err2,Error-driven,beta_ca3,1.0,53.56087265014648,53.56087265014648,0.5895223201976882,0.5177893765767415,0.52,0.7307775840163231
err2,Error-driven,beta_ca3,1.25,53.56087265014648,66.9510908126831,0.59448029415475,0.5197937615712483,0.52,0.7436471208930016
err2,Error-driven,beta_ca1,0.75,32.760057377815244,24.570043033361433,0.5911346117655436,0.5189353752136231,0.52,0.7344684600830078
err2,Error-driven,beta_ca1,1.0,32.760057377815244,32.760057377815244,0.5895223201976882,0.5177893765767415,0.52,0.7307775840163231
err2,Error-driven,beta_ca1,1.25,32.760057377815244,40.95007172226906,0.49879057695468265,0.5120742249488831,0.515,0.46929750591516495
err2,Error-driven,alpha,0.75,0.05955685806274414,0.04466764354705811,0.5918651147021188,0.5194493261973063,0.52,0.73614601790905
err2,Error-driven,alpha,1.0,0.05955685806274414,0.05955685806274414,0.5895223201976882,0.5177893765767415,0.52,0.7307775840163231
err2,Error-driven,alpha,1.25,0.05955685806274414,0.07444607257843018,0.5859945055842399,0.5201128315925598,0.515,0.7228706851601601
