metric,plasticity_rule,seed,value
compatibility_cost,base,51001,0.6923456788063049
compatibility_cost,base,51002,0.7557135820388794
compatibility_cost,base,51003,0.7355577945709229
compatibility_cost,base,51004,0.7014732956886292
compatibility_cost,base,51005,0.6473205089569092
compatibility_cost,base,51006,0.6529170274734497
compatibility_cost,base,51007,0.6674190163612366
compatibility_cost,base,51008,0.7530269622802734
compatibility_cost,base,51009,0.6165992021560669
compatibility_cost,base,51010,0.683869481086731
compatibility_cost,base,51011,0.6778756976127625
compatibility_cost,base,51012,0.622697114944458
compatibility_cost,base,51013,0.6139804720878601
compatibility_cost,base,51014,0.7009727358818054
compatibility_cost,base,51015,0.569819986820221
compatibility_cost,base,51016,0.7279768586158752
compatibility_cost,base,51017,0.6480236053466797
compatibility_cost,base,51018,0.693172037601471
compatibility_cost,base,51019,0.6696857213973999
compatibility_cost,base,51020,0.758698046207428
compatibility_cost,err2,51001,0.40990206599235535
compatibility_cost,err2,51002,0.4479006230831146
compatibility_cost,err2,51003,0.47259417176246643
compatibility_cost,err2,51004,0.31523293256759644
compatibility_cost,err2,51005,0.44296392798423767
compatibility_cost,err2,51006,0.3850034773349762
compatibility_cost,err2,51007,0.4794364273548126
compatibility_cost,err2,51008,0.40243029594421387
compatibility_cost,err2,51009,0.42650076746940613
compatibility_cost,err2,51010,0.5084844827651978
compatibility_cost,err2,51011,0.5238565802574158
compatibility_cost,err2,51012,0.5602079629898071
compatibility_cost,err2,51013,0.32510024309158325
compatibility_cost,err2,51014,0.4127790331840515
compatibility_cost,err2,51015,0.48005396127700806
compatibility_cost,err2,51016,0.4501318037509918
compatibility_cost,err2,51017,0.45872876048088074
compatibility_cost,err2,51018,0.5345871448516846
compatibility_cost,err2,51019,0.4492098093032837
compatibility_cost,err2,51020,0.4665866196155548
cue_swap_delta,base,51001,-0.48232248425483704
cue_swap_delta,base,51002,-0.5258881449699402
cue_swap_delta,base,51003,-0.45057669281959534
cue_swap_delta,base,51004,-0.38641634583473206
cue_swap_delta,base,51005,-0.47318035364151
cue_swap_delta,base,51006,-0.5169371366500854
cue_swap_delta,base,51007,-0.5001408457756042
