record_type,seed,plasticity_rule,schedule,event,event_lap,relative_lap,old_map_similarity,new_map_similarity,step_similarity,ca1_unit,endpoint_unit_similarity
event_timecourse,51001,base,swap,0,11,-3,0.7582969069480896,0.20919303596019745,0.9254918098449707,,
event_timecourse,51001,base,swap,0,11,-2,0.8396654725074768,0.20948874950408936,0.8476259708404541,,
event_timecourse,51001,base,swap,0,11,-1,0.8858080506324768,0.1976073980331421,0.8396654725074768,,
event_timecourse,51001,base,swap,0,11,0,0.41536790132522583,0.543641984462738,0.41536790132522583,,
event_timecourse,51001,base,swap,0,11,1,0.37057170271873474,0.5773148536682129,0.8109886646270752,,
event_timecourse,51001,base,swap,0,11,2,0.34449732303619385,0.5938065052032471,0.8319361209869385,,
event_timecourse,51001,base,swap,0,11,3,0.3070186674594879,0.6362158060073853,0.7508836984634399,,
event_timecourse,51001,base,swap,0,11,4,0.24944446980953217,0.7299242615699768,0.7151797413825989,,
event_timecourse,51001,base,swap,0,11,5,0.26016029715538025,0.7298747897148132,0.7085685133934021,,
event_timecourse,51001,base,swap,0,11,6,0.27926525473594666,0.7729511260986328,0.7820637226104736,,
event_timecourse,51001,base,swap,0,11,7,0.221453458070755,0.7896729111671448,0.8666791319847107,,
event_timecourse,51001,base,swap,0,11,8,0.2424165904521942,0.8059608340263367,0.825490415096283,,
event_timecourse,51001,base,swap,0,11,9,0.1976073980331421,0.8932154178619385,0.8059608340263367,,
endpoint_unit,51001,base,swap,0,11,,,,,0,-0.015070966444909573
endpoint_unit,51001,base,swap,0,11,,,,,1,-0.46933963894844055
endpoint_unit,51001,base,swap,0,11,,,,,2,0.6058590412139893
endpoint_unit,51001,base,swap,0,11,,,,,3,-0.16340628266334534
endpoint_unit,51001,base,swap,0,11,,,,,4,0.7586309909820557
endpoint_unit,51001,base,swap,0,11,,,,,5,0.630955159664154
endpoint_unit,51001,base,swap,0,11,,,,,6,-0.4601801931858063
endpoint_unit,51001,base,swap,0,11,,,,,7,0.7780366539955139
