root_seed,rule,fraction,mask_index,output_cosine,identity,dropped_units
51001,base,0.0,0,0.8444323820329684,0.16,0
51001,base,0.0,1,0.8444323820329684,0.16,0
51001,base,0.0,2,0.8444323820329684,0.16,0
51001,base,0.0,3,0.8444323820329684,0.16,0
51001,base,0.0,4,0.8444323820329684,0.16,0
51001,base,0.0,5,0.8444323820329684,0.16,0
51001,base,0.0,6,0.8444323820329684,0.16,0
51001,base,0.0,7,0.8444323820329684,0.16,0
51001,base,0.0,8,0.8444323820329684,0.16,0
51001,base,0.0,9,0.8444323820329684,0.16,0
51001,base,0.0,10,0.8444323820329684,0.16,0
51001,base,0.0,11,0.8444323820329684,0.16,0
51001,base,0.25,0,0.7900807910758616,0.18,12
51001,base,0.25,1,0.8193401123490984,0.2,12
51001,base,0.25,2,0.8369854222393285,0.22,12
51001,base,0.25,3,0.8300086844563169,0.14,12
51001,base,0.25,4,0.8323580730465139,0.14,12
51001,base,0.25,5,0.7825907961162138,0.12,12
51001,base,0.25,6,0.804137670668377,0.12,12
51001,base,0.25,7,0.8466881085991794,0.2,12
51001,base,0.25,8,0.8522688957367032,0.22,12
51001,base,0.25,9,0.842194569637362,0.16,12
51001,base,0.25,10,0.8063819682791127,0.22,12
51001,base,0.25,11,0.8204393777238965,0.12,12
51001,base,0.5,0,0.750460902770103,0.14,25
51001,base,0.5,1,0.7532880815748868,0.08,25
51001,base,0.5,2,0.8261914063093397,0.16,25
51001,base,0.5,3,0.7369396443628098,0.1,25
51001,base,0.5,4,0.7468987308298644,0.1,25
51001,base,0.5,5,0.7143108252903396,0.14,25
51001,base,0.5,6,0.7107919878499642,0.22,25
51001,base,0.5,7,0.7682309118999225,0.08,25
51001,base,0.5,8,0.7907834565956356,0.2,25
51001,base,0.5,9,0.8393401112686766,0.2,25
51001,base,0.5,10,0.6363668649341394,0.22,25
51001,base,0.5,11,0.783669919824687,0.12,25
51001,base,0.75,0,0.5146969034074788,0.06,38
51001,base,0.75,1,0.5741973601489041,0.14,38
51001,base,0.75,2,0.455246930860082,0.08,38
51001,base,0.75,3,0.6078215959919422,0.06,38
51001,base,0.75,4,0.7766658225637697,0.08,38
51001,base,0.75,5,0.5355238754257063,0.06,38
51001,base,0.75,6,0.8099542185700773,0.2,38
51001,base,0.75,7,0.7680313588712089,0.12,38
51001,base,0.75,8,0.7007511852186403,0.1,38
51001,base,0.75,9,0.7930372845367679,0.14,38
51001,base,0.75,10,0.5966560739610003,0.1,38
51001,base,0.75,11,0.548960492742862,0.06,38
51001,base,0.9,0,0.511113255268086,0.08,45
51001,base,0.9,1,0.5343054022118844,0.06,45
51001,base,0.9,2,0.5952662303089135,0.06,45
51001,base,0.9,3,0.4137574947589767,0.08,45
51001,base,0.9,4,0.5119486684183893,0.08,45
51001,base,0.9,5,0.5022707853079256,0.1,45
51001,base,0.9,6,0.31166283572749903,0.04,45
51001,base,0.9,7,0.4361529551041528,0.04,45
51001,base,0.9,8,0.5750376314003289,0.06,45
51001,base,0.9,9,0.6899305357240579,0.08,45
51001,base,0.9,10,0.5594029806832826,0.04,45
51001,base,0.9,11,0.4894278558737917,0.06,45
51001,err2,0.0,0,0.9514526540459769,0.74,0
51001,err2,0.0,1,0.9514526540459769,0.74,0
51001,err2,0.0,2,0.9514526540459769,0.74,0
51001,err2,0.0,3,0.9514526540459769,0.74,0
51001,err2,0.0,4,0.9514526540459769,0.74,0
51001,err2,0.0,5,0.9514526540459769,0.74,0
51001,err2,0.0,6,0.9514526540459769,0.74,0
51001,err2,0.0,7,0.9514526540459769,0.74,0
51001,err2,0.0,8,0.9514526540459769,0.74,0
51001,err2,0.0,9,0.9514526540459769,0.74,0
51001,err2,0.0,10,0.9514526540459769,0.74,0
51001,err2,0.0,11,0.9514526540459769,0.74,0
51001,err2,0.25,0,0.8554536804318689,0.44,12
51001,err2,0.25,1,0.8265246872573466,0.42,12
