repetition,seed,dim_ca1,num_cue_patterns,bit_kind,plasticity,train_noise,test_noise,ae_name,mtl_name,evolution_fitness,input_cosine,ae_cosine,mtl_cosine,ae_mse,mtl_mse
0,73200,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999973773956,0.9376953797340393,0.6501745645999908,0.014300190843641758,0.09042958915233612
1,73201,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000007152556,0.9390943274497986,0.6507006075233221,0.013587468303740025,0.08036467432975769
2,73202,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999949932098,0.9391458902359009,0.7098023245334625,0.013701464049518108,0.0704297348856926
3,73203,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000014305115,0.9393156759738922,0.7076060640215873,0.013907741755247116,0.0732044205069542
4,73204,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999985694885,0.9405884408950805,0.7127833401858806,0.013769521377980709,0.0743165910243988
5,73205,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000011920929,0.9344871628284455,0.731392045378685,0.01430534292012453,0.06681250780820847
6,73206,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999990463256,0.9400948741436005,0.7043222101926804,0.013715246692299843,0.08074180781841278
7,73207,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999976158143,0.9373928599357605,0.6844006130844354,0.01449504029005766,0.076308973133564
8,73208,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.000000002861023,0.9379988858699798,0.7057242866754532,0.013796797953546047,0.0734446793794632
9,73209,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000009536743,0.9342276797294616,0.6695970129072666,0.014994381926953793,0.07820552587509155
10,73210,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999949932098,0.9381125569343567,0.6714077106565237,0.01373706292361021,0.0822211354970932
11,73211,50,5,0,base,0.05,0.0,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999973773956,0.9346639628410339,0.7726988731622696,0.014868964441120625,0.057778265327215195
0,73200,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999973773956,0.9376953797340393,0.6501745645999908,0.014300190843641758,0.09042958915233612
1,73201,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000007152556,0.9390943274497986,0.6507006075233221,0.013587468303740025,0.08036467432975769
2,73202,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999949932098,0.9391458902359009,0.7098023245334625,0.013701464049518108,0.0704297348856926
3,73203,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000014305115,0.9393156759738922,0.7076060640215873,0.013907741755247116,0.0732044205069542
4,73204,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999985694885,0.9405884408950805,0.7127833401858806,0.013769521377980709,0.0743165910243988
5,73205,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000011920929,0.9344871628284455,0.731392045378685,0.01430534292012453,0.06681250780820847
6,73206,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999990463256,0.9400948741436005,0.7043222101926804,0.013715246692299843,0.08074180781841278
7,73207,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999976158143,0.9373928599357605,0.6844006130844354,0.01449504029005766,0.076308973133564
8,73208,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.000000002861023,0.9379988858699798,0.7057242866754532,0.013796797953546047,0.0734446793794632
9,73209,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,1.0000000009536743,0.9342276797294616,0.6695970129072666,0.014994381926953793,0.07820552587509155
10,73210,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999949932098,0.9381125569343567,0.6714077106565237,0.01373706292361021,0.0822211354970932
11,73211,50,5,0,base,0.05,0.01,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.9999999973773956,0.9346639628410339,0.7726988731622696,0.014868964441120625,0.057778265327215195
0,73200,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8351650767326355,0.9263617913722992,0.5807410418987274,0.017345985397696495,0.09307047724723816
1,73201,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8293117349147796,0.9208288474082946,0.5869347334131598,0.017014333978295326,0.09185536950826645
2,73202,50,5,0,base,0.05,0.02,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.8357473161220551,0.9196192457675934,0.6659575852155686,0.01810014434158802,0.07920355349779129
